id,sample,metric,es,n1,n2,direction,n,r,x,y,x_var,y_var,x_rank,y_rank,x_name,y_name,x_text,y_text,source,note,t1,t2,r_ab,r_bc,r_ac,country,region,continent,ingroup,outgroup,study_setting,study_design,study_sample,age,study_intention,publication_status,ic_direct,pi_specific,pi_personal,cultural_distance_to_usa,political_distance_to_usa,political_participation_distance_to_usa,group_membership_distance_to_usa
19,1,r,1,NA,NA,NA,585,1,cq,cq,ic,ic,4,4,Contact quantity,Contact quantity,"The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79","The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79",text,NA,NA,NA,NA,NA,NA,Singapore,East Asia & Pacific,Asia,Chinese international students,Native Singaporeans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)",No,published,Directly,NA,NA,0.0331007342408471,0.0435709147716596,"NA",0.0635398875539966
19,1,r,-0.33,NA,NA,NA,585,-0.33,cq,pd,ic,pi,4,3,Contact quantity,Personal discrimination,"The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79","Perceived discrimination was examined based on the mutual attitudes among immigrants scale (Berry 2006, 2010). Participants were asked to indicate agreement with seven statements such as: (a) ‘I think that Singaporeans have behaved in an unfair or negative way towards me because of my PRC background’; (b) ‘I don’t feel accepted by Singaporeans’; and (c) ‘I have been teased or insulted because of my PRC background’. The reliability alpha was .85.",text,NA,NA,NA,NA,NA,NA,Singapore,East Asia & Pacific,Asia,Chinese international students,Native Singaporeans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)",No,published,Directly,Both,Personal,0.0331007342408471,0.0435709147716596,"NA",0.0635398875539966
19,1,r,-0.33,NA,NA,NA,585,-0.33,pd,cq,pi,ic,3,4,Personal discrimination,Contact quantity,"Perceived discrimination was examined based on the mutual attitudes among immigrants scale (Berry 2006, 2010). Participants were asked to indicate agreement with seven statements such as: (a) ‘I think that Singaporeans have behaved in an unfair or negative way towards me because of my PRC background’; (b) ‘I don’t feel accepted by Singaporeans’; and (c) ‘I have been teased or insulted because of my PRC background’. The reliability alpha was .85.","The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79",text,NA,NA,NA,NA,NA,NA,Singapore,East Asia & Pacific,Asia,Chinese international students,Native Singaporeans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)",No,published,NA,NA,NA,0.0331007342408471,0.0435709147716596,"NA",0.0635398875539966
19,1,r,1,NA,NA,NA,585,1,pd,pd,pi,pi,3,3,Personal discrimination,Personal discrimination,"Perceived discrimination was examined based on the mutual attitudes among immigrants scale (Berry 2006, 2010). Participants were asked to indicate agreement with seven statements such as: (a) ‘I think that Singaporeans have behaved in an unfair or negative way towards me because of my PRC background’; (b) ‘I don’t feel accepted by Singaporeans’; and (c) ‘I have been teased or insulted because of my PRC background’. The reliability alpha was .85.","Perceived discrimination was examined based on the mutual attitudes among immigrants scale (Berry 2006, 2010). Participants were asked to indicate agreement with seven statements such as: (a) ‘I think that Singaporeans have behaved in an unfair or negative way towards me because of my PRC background’; (b) ‘I don’t feel accepted by Singaporeans’; and (c) ‘I have been teased or insulted because of my PRC background’. The reliability alpha was .85.",text,NA,NA,NA,NA,NA,NA,Singapore,East Asia & Pacific,Asia,Chinese international students,Native Singaporeans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)",No,published,NA,Both,Personal,0.0331007342408471,0.0435709147716596,"NA",0.0635398875539966
45,1,r,1,NA,NA,NA,161,1,pc,pc,ic,ic,2,2,Contact quality / Positive contact,Contact quality / Positive contact,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)","In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Germany,Europe & Central Asia,Europe,International students in Germany,Native Germans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(≥ 18 years)",Yes,published,Directly,NA,NA,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545
45,1,r,-0.16,NA,NA,NA,161,-0.16,pc,pd,ic,pi,2,3,Contact quality / Positive contact,Personal discrimination,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)","Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against non-German/non-British people in your presence?’). Responses were made on a 5-point scale ranging from 1 ¼ never to 5 ¼ very often. The full scale is presented in the Appendix.",text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Germany,Europe & Central Asia,Europe,International students in Germany,Native Germans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(≥ 18 years)",Yes,published,Directly,Specific,Personal,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545
45,1,r,-0.16,NA,NA,NA,161,-0.16,pd,pc,pi,ic,3,2,Personal discrimination,Contact quality / Positive contact,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against non-German/non-British people in your presence?’). Responses were made on a 5-point scale ranging from 1 ¼ never to 5 ¼ very often. The full scale is presented in the Appendix.","In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,Germany,Europe & Central Asia,Europe,International students in Germany,Native Germans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(≥ 18 years)",Yes,published,NA,NA,NA,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545
45,1,r,1,NA,NA,NA,161,1,pd,pd,pi,pi,3,3,Personal discrimination,Personal discrimination,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against non-German/non-British people in your presence?’). Responses were made on a 5-point scale ranging from 1 ¼ never to 5 ¼ very often. The full scale is presented in the Appendix.","Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against non-German/non-British people in your presence?’). Responses were made on a 5-point scale ranging from 1 ¼ never to 5 ¼ very often. The full scale is presented in the Appendix.",text,NA,NA,NA,NA,NA,NA,Germany,Europe & Central Asia,Europe,International students in Germany,Native Germans,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(≥ 18 years)",Yes,published,NA,Specific,Personal,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545
45,2,r,1,NA,NA,NA,139,1,pc,pc,ic,ic,2,2,Contact quality / Positive contact,Contact quality / Positive contact,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)","In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,UK,Europe & Central Asia,Europe,German international students,British people,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(≥ 18 years)",Yes,published,Directly,NA,NA,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042
45,2,r,-0.23,NA,NA,NA,139,-0.23,pc,pd,ic,pi,2,3,Contact quality / Positive contact,Personal discrimination,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)","Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against",text,predictor reversed to reflect more positive contact,NA,NA,NA,NA,NA,UK,Europe & Central Asia,Europe,German international students,British people,Short-term migration,"observational, cross-sectional","convenience sample, students (no random sampling)","Adults
(≥ 18 years)",Yes,published,Directly,Specific,Personal,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042
