id,coder,sample,variable,text,name
19,Coder 2,1,cq,"The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79",Contact quantity
19,Coder 2,1,pd,"Perceived discrimination was examined based on the mutual attitudes among immigrants scale (Berry 2006, 2010). Participants were asked to indicate agreement with seven statements such as: (a) ‘I think that Singaporeans have behaved in an unfair or negative way towards me because of my PRC background’; (b) ‘I don’t feel accepted by Singaporeans’; and (c) ‘I have been teased or insulted because of my PRC background’. The reliability alpha was .85.",Personal discrimination
45,Coder 2,1,pc,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against non-German/non-British people in your presence?’). Responses were made on a 5-point scale ranging from 1 ¼ never to 5 ¼ very often. The full scale is presented in the Appendix.",Contact quality / Positive contact
45,Coder 2,1,pd,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",Personal discrimination
45,Coder 2,2,pc,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against",Contact quality / Positive contact
45,Coder 2,2,pd,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",Personal discrimination
45,Coder 2,3,pc,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against",Contact quality / Positive contact
45,Coder 2,3,pd,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",Personal discrimination
46,Coder 1,1,ic,Intergroup friendship is measured with the item ‘How many of your friends and intimate relationships are from the same origin as you?’ Pupils could answer this item with a 5-point likert scale ranging from all (0) to no one (4) (M: 1.70; SD: 1.08).,Intergroup contact (other)
46,Coder 1,1,gd,"Five items measuring the perception of institutional discrimination were administered. These items were inspired by the survey of Verkuyten and Martinovic (2006) and measure perceived discrimination by the police, by the school, the authorities, on the labour market and for social housing. A sample item is: ‘‘If something wrong happens somewhere, who, do you think, will be firstly controlled by the police?’’ The item was administered with a 5-point Likert scale: ‘‘Surely the youngsters of foreign origin;’’ ‘‘Probably the youngsters of foreign origin;’’ ‘‘There won’t be any difference,’’ ‘‘Probably the Belgian youngsters;’’ ‘‘Surely the Belgian youngsters.’’ The same design was applied for the other discrimination items so that not only the perception of discrimination against the ethnic minorities in favour of the majority, but also the perception of discrimination against the majority in favour of ethnic minorities is measured.",Group discrimination
91,Coder 2,1,pc,"Respondents were asked to designate the nature of their interactions with domestic students by placing a mark along a 7- point scale that best represented the nature of their interactions with US domestic students based 43 on pairs of contrasting adjectives (i.e., unpleasant/pleasant, competitive/cooperative, superficial/intimate, not equal/equal, involuntary/voluntary, negative/positive).",Contact quality / Positive contact
91,Coder 2,1,pd,"The Perceived Discrimination Subscale includes eight items, and is rated on a 5-point Likert scale that ranges from 1 (strongly disagree) to 5 (strongly agree). Higher total scores indicate greater levels of perceived discrimination. One sample item is, “I am treated differently because of my race.” The coefficient alpha for the subscale was .92 among a sample of Taiwanese and Chinese international students (Wei et al., 2008) and .92 among a sample of Asian male international students (Wong et al., 2014)",Personal discrimination
93,Coder 1,1,cq,"Intergroup contact with other disadvantaged groups was measured by three items: ‘How often do you spend time with disadvantaged people at the university campus?’, ‘How often do you spend time with disadvantaged people at social activities?’, ‘How regularly do you have interactions with disadvantaged people as part of the same sports team/social club/campus society?’ (α=.88). We used the same items to measure contact with ‘high status’ Hindu group members (α=.84).",Contact quantity
93,Coder 1,1,ca,"We used three items (α=.85) adapted from Smith, Cronin and Kessler (2008) to measure collective action tendencies on behalf of the disadvantaged group: ‘I would be willing to sign a petition to improve the current situation of all disadvantaged people in India’, ‘I would be willing to sign up for a neighbourhood project to improve conditions for the disadvantaged in my neighbourhood’, and ‘I would be willing to participate in a peaceful demonstration to improve the current conditions for the disadvantaged in India’.",Collective action
93,Coder 1,1,ge,"We used three items to measure perceived group efﬁcacy (van Zomeren, Leach, & Spears, 2010): ‘I believe that disadvantaged groups, working together, can protect our rights.’, ‘I believe that disadvantaged groups, through joint actions, can prevent our conditions from deteriorating.’, and ‘I believe that disadvantaged groups can achieve a common goal of improving our conditions’ (.α=.90).",Group efficacy
210,Coder 1,1,cf,"Meaningful intergroup contact was assessed at Time 2 with two items (r = .47, p < .001) in which participants’ reported numbers of White close friends and White friendly acquaintances on a 5-point scale, with item responses indicating “0,” “1–2” “3–4,” “5–6,” or “more than 6.”",Cross-group friendship
210,Coder 1,1,pd,"Interpersonal racial discrimination was assessed at Time 2 using a modified Daily Racial Hassles Scale (Harrell 1997), a self-report measure of 15 discriminatory events. Participants indicated whether each event occurred at least once over the past academic year on campus and whether it was because of race. An example item includes: “Have you experienced being treated rudely or disrespectfully because of your race?” We created a discrimination variable representing the number of individuals’ reported racial hassles on campus.",Personal discrimination
244,Coder 1,1,ic,"At the end of the interview, participants completed the Developmental Intergroup Contact Survey (Crystal et al. 2008) originally adapted from a 10-item Diversity Attitudes Questionnaire (DAQ) (Kurlaender and Yun 2001). Following Crystal et al. (2008) the 10 DAQ items were subjected to a principal axis factor analysis with varimax rotation (Kaiser normalization), which yielded a primary factor, explaining 34% of the variance and consisting of six items. Those six items comprised our Intergroup Contact Scale and included: (1) How many students in your school are from racial or ethnic groups different from you own? (2) How often do you work on school projects and/or study with students from other racial/ethnic groups? (3) At school, how many friends do you have who are from a different racial or ethnic group than you? (4) Outside of school, how many friends do you have who are from a different racial or ethnic group than you? (5) In the neighborhood where you live, do you have neighbors from other racial or ethnic groups? and (6) How many of your friends from your neighborhood are from a different racial or ethnic group than you? Responses to these items ranged from one (‘‘none’’) to four (‘‘many’’), and were summed and then averaged to form the Intergroup Contact Scale, with a Cronbach’s a of .72. In order to include the Intergroup Contact Scale in more complex multivariate analyses, the scale was dichotomously split along the mean into groups of ‘‘low’’ and ‘‘high’’ intergroup contact.",Intergroup contact (other)
244,Coder 1,1,pi,"The Social Reasoning about Exclusion interview consisted of three short scenarios each depicting a context in which interracial exclusion might occur (Killen et al. 2007c). Extensive pilot testing was conducted on the interview scenarios in order to ensure that participants were familiar with the situations, and that the language was developmentally appropriate. The scenarios were presented in a preestablished order (see Crystal et al. 2008), with the last two contexts representing more intimate situations than those employed in earlier research (e.g., Killen et al. 2002; Killen and Stangor 2001). The scenarios were: excluding a crossrace peer from lunch at school (where a majority child does notwanttoinviteaminoritychildtohavelunchwithhim/her and another majority friend), excluding a cross-race peer froma sleepoverparty (where amajoritychild doesnotwant to invite a minority child to a sleepover), and excluding a cross-race peer from a high school dance (where a majority student does not want to invite a minority student from anotherschooltoaschooldanceasadate).Inordertocapture the historical dimension of racial exclusion in the United States, all three scenarios involved a European American child excluding an African American child. Brown (2008) reported that in a racially and ethnically diverse sample, US children often gave examples of discrimination directed towards African American children, when presented with open-ended questions about discrimination. In addition, she noted that these same children also gave examples of racial discrimination from a historical perspective, providing further support for our use of situations involving a EuropeanAmerican child excluding an African American child. After the presentation of each of the three scenarios participants responded to a series of assessments (1) Wrongfulness of race-based exclusion (How good or bad is it to exclude someone on the basis of their race?); (2) Stereotype assessment (What is it about race that makes people uncomfortable?); (3) Estimations of the frequency of race-based exclusion among peers (How often do you think children your age might not invite someone to lunch because they are a different race?); and (4) Bystander Response (What do you think a bystander child should do about race-based exclusion?). Responses to the wrongfulness ratings ranged from 1 (‘‘very,verygood’’)to8(‘‘very,verybad’’).Responsestothe assessment about stereotypes were coded as (a) Afﬁrming stereotypes (afﬁrming or endorsing stereotypes); (b) Stereotyperecognition(recognizingpeopleusestereotypes);and(c) Social contexts of stereotypes (awareness of social factors andhistoricalcircumstancescontributingtothemanifestation ofstereotypes);and(d) Don’tknowornoresponse.Interrater agreement calculated as Cohen’s kappa coefﬁcient = .90. Responsestofrequencyestimations rangedfrom 1 (‘‘never’’) to5(‘‘always).Participants’responses tothe questionofhow abystandershoulddealwithrace-basedexclusionwerecoded as: (a) Focus on the excluder (e.g., ‘‘he should tell them that just because kids are different races doesn’t mean they have different interests’’); (b) Focus on the excluded (e.g., ‘‘she shouldtelltheBlackgirlthatshewillbeherfriendevenifthe other girl won’t’’); (c) Focus on both (e.g., ‘‘I would talk to both of them and see if I could bring them together’’); and (d) Not know what to do (e.g., ‘‘I wouldn’t know what to do’’). Interrater agreement by two independent raters calculated as Cohen’s kappa coefﬁcient = .99.",Perceived injustice (other)
284,Coder 1,1,cf,"To measure intergroup contact, we adapted three items from Swart (2007) to assess positive outgroup contact ( = .84). Participants reported the amount of contact they have at university, in social activities, and in their homes or university residences (whichever is relevant; e.g., ‘How often do you visit your White friends in their home?’).",Cross-group friendship
