id,sample,country,region,continent,ingroup,outgroup,study_setting,study_sample,age,study_design,study_intention,cultural_distance_to_usa,political_distance_to_usa,political_participation_distance_to_usa,group_membership_distance_to_usa,publication_status
19,1,Singapore,East Asia & Pacific,Asia,Chinese international students,Native Singaporeans,Short-term migration,"convenience sample, students (no random sampling)","Adults
(â‰¥ 18 years)","observational, cross-sectional",No,0.0331007342408471,0.0435709147716596,"NA",0.0635398875539966,published
45,1,Germany,Europe & Central Asia,Europe,International students in Germany,Native Germans,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545,published
45,2,UK,Europe & Central Asia,Europe,German international students,British people,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
45,3,Germany,Europe & Central Asia,Europe,Visiting academics,Native Germans,Short-term migration,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545,published
46,1,Belgium,Europe & Central Asia,Europe,Pupils of foreign origin in Brussels,Belgians,Short-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,"NA","NA","NA","NA",published
91,1,USA,North America,North America,Asian international students,Domestic students,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0,0,0,0,unpublished dissertation
93,1,India,South Asia,Asia,Muslims,Hindus,Religion,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517,published
244,1,USA,North America,North America,African American and Latino students,European American children,Slavery,"convenience sample, students (no random sampling)","Children
(≤ 12 years),Adolescents
(13 - 18 years)","observational, cross-sectional",Yes,0,0,0,0,published
284,1,South Africa,Sub-Saharan Africa,Africa,Black South Africans,White South Africans,Colonization,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0775239756055437,0.0786389668446095,0.242407668227345,0.0650781400376889,published
286,1,Turkey,Europe & Central Asia,Asia,Kurds,Turks,Colonization,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
303,1,"Canada,Mexico,USA",Mixed,Mixed,Natives,Anglos/Whites,Colonization,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,"0.0249903699091967,0.0752247712872093,0","0.0261478632783305,0.0761214852908371,0","0.00503791012665487,0.280416390609245,0","0.0257082208054689,0.0589065045843685,0",unpublished dissertation
322,1,Turkey,Europe & Central Asia,Asia,Kurds,Turks,Colonization,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
324,1,USA,North America,North America,Black Americans,White Americans,Slavery,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,published
324,2,USA,North America,North America,Hispanic Americans,White Americans,Long-term migration,probability or representative sample,"Adolescents
(13 - 18 years)","observational, cross-sectional",No,0,0,0,0,published
325,1,USA,North America,North America,Multiracial Americans,White Americans,Other,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",No,0,0,0,0,published
336,1,South Africa,Sub-Saharan Africa,Africa,Black South Africans,White South Africans,Colonization,probability or representative sample,"Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0775239756055437,0.0786389668446095,0.242407668227345,0.0650781400376889,published
401,1,Germany,Europe & Central Asia,Europe,East Germans,West Germans,Other,probability or representative sample,"Adolescents
(13 - 18 years),Adults
(â‰¥ 18 years)","observational, longitudinal",Yes,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545,published
414,1,Turkey,Europe & Central Asia,Asia,Disabled people,Non-disabled people,Other,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
423,1,UK,Europe & Central Asia,Europe,Eastern European immigrants,British people,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
423,2,Turkey,Europe & Central Asia,Asia,Kurds,Turks,Colonization,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
423,3,Turkey,Europe & Central Asia,Asia,Kurds,Turks,Colonization,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",Yes,0.127044425847128,0.115332198375567,0.332638505186188,0.135395755156231,published
480,1,Costa Rica,Latin America & Caribbean,South America,Afro Costa Ricans,White Costa Ricans,Slavery,"convenience sample, students (no random sampling)","Adolescents
(13 - 18 years)","observational, cross-sectional",No,"NA","NA","NA","NA",published
609,1,Hong Kong,East Asia & Pacific,Asia,Migrants from Mainland China to Hong Kong,Natives of Hong Kong,Long-term migration,"convenience sample, non-students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0979239647188102,0.0849829180794357,0.15086534296655,0.110575717315254,published
703,1,USA,North America,North America,African Americans,White Americans,Slavery,"convenience sample, students (no random sampling)","Children
(â‰¤ 12 years)","observational, cross-sectional",Yes,0,0,0,0,published
733,1,UK,Europe & Central Asia,Europe,Malaysian international students,British people,Short-term migration,"convenience sample, students (no random sampling)","Adults
(≥ 18 years)","observational, cross-sectional",No,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042,published
