id,sample,var,variable,name,text,ic_direct,ic_quality,pi_personal,pi_specific
19,1,ic,cq,Contact quantity,"The FTF contact subscale was composed of eight items (e.g., ‘I have FTF interactions with Singaporeans very often’ and ‘I make an effort to interact with Singaporeans’), with. The reliability alpha was .79",Directly,No,NA,NA
19,1,pi,pd,Personal discrimination,"Perceived discrimination was examined based on the mutual attitudes among immigrants scale (Berry 2006, 2010). Participants were asked to indicate agreement with seven statements such as: (a) ‘I think that Singaporeans have behaved in an unfair or negative way towards me because of my PRC background’; (b) ‘I don’t feel accepted by Singaporeans’; and (c) ‘I have been teased or insulted because of my PRC background’. The reliability alpha was .85.",NA,NA,Personal,Both
45,1,ic,pc,Contact quality / Positive contact,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",Directly,Yes,NA,NA
45,1,pi,pd,Personal discrimination,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against non-German/non-British people in your presence?’). Responses were made on a 5-point scale ranging from 1 ¼ never to 5 ¼ very often. The full scale is presented in the Appendix.",NA,NA,Personal,Specific
45,2,ic,pc,Contact quality / Positive contact,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",Directly,Yes,NA,NA
45,2,pi,pd,Personal discrimination,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against",NA,NA,Personal,Specific
45,3,ic,pc,Contact quality / Positive contact,"In addition, respondents were asked to rate the quality of their private contacts with members of their host nation on four 7-point semantic-differential-type scales (relaxed–tense; friendly–unfriendly; important–not important; satisfactory–unsatisfactory). Private contacts were defined as contacts in the respondents’ spare time (i.e. outside work and daily duties)",Directly,Yes,NA,NA
45,3,pi,pd,Personal discrimination,"Respondents were asked to complete a 22-item Experience of Discrimination Scale (EDS) addressing perceived discrimination on four levels: (a) physical assault (or threat of assault); five items (e.g. ‘ How often have you been physically threatened because you are not German/British?’); (b) (active) behavioural discrimination, six items (e.g. ‘How often have you felt you were treated unfairly by people who work in public services because you are not German/British?’); (c) (passive) avoidance, seven items (e.g. ‘How often have you experienced German/British people keeping a physical distance from you because you are not German/British?’); and (d) antilocution or verbal discrimination, four items (e.g. ‘How often has someone expressed prejudice against",NA,NA,Personal,Specific
46,1,ic,ic,Intergroup contact (other),Intergroup friendship is measured with the item ‘How many of your friends and intimate relationships are from the same origin as you?’ Pupils could answer this item with a 5-point likert scale ranging from all (0) to no one (4) (M: 1.70; SD: 1.08).,Indirectly,No,NA,NA
46,1,pi,gd,Group discrimination,"Five items measuring the perception of institutional discrimination were administered. These items were inspired by the survey of Verkuyten and Martinovic (2006) and measure perceived discrimination by the police, by the school, the authorities, on the labour market and for social housing. A sample item is: ‘‘If something wrong happens somewhere, who, do you think, will be firstly controlled by the police?’’ The item was administered with a 5-point Likert scale: ‘‘Surely the youngsters of foreign origin;’’ ‘‘Probably the youngsters of foreign origin;’’ ‘‘There won’t be any difference,’’ ‘‘Probably the Belgian youngsters;’’ ‘‘Surely the Belgian youngsters.’’ The same design was applied for the other discrimination items so that not only the perception of discrimination against the ethnic minorities in favour of the majority, but also the perception of discrimination against the majority in favour of ethnic minorities is measured.",NA,NA,Group,Specific
