id,author,year,title,journal,volume,issue,first_page,last_page,doi,abstract,keywords,type,status,source
19,"Jiang Q., Aricat R.G., Chib A., Chia A., Tan S.M., Tan L., Woo Z.W.",2016,Silent but brewing: Reactive ethnicity and interculturality among chinese students in Singapore,Journal of Intercultural Communication,2016,40,NA,NA,NA,"The study takes an indirect approach towards the intercultural experience of migrants and explores how they perceive discrimination from host society and in turn stereotype it. Previous studies have highlighted how interculturality facilitates the adaptation of migrants in the host country. This study explores (i) how face-to-face (FTF) and mediated contact and perceived discrimination predict stereotyping, and (ii) how contact, perceived discrimination and stereotyping predict interculturality. A web-based survey was conducted among university students from the People’s Republic of China (n = 585) in Singapore. FTF contact reduced stereotyping better than mediated contact. Perceived discrimination increased stereotyping of the host society by migrants, whereas stereotyping negatively affected interculturality. The study calls for better contact between locals and the migrant population. © 2016, Immigrant Institutet. All rights reserved.",china; contact; culture; discrimination; immigrant; integration; intercultural; singapore; stereotype,Article,Final,Scopus
45,"Krahe, Barbara, Abraham, Charles, Felber, Juliane, Helbig, Muriel K",2005,Perceived discrimination of international visitors to universities in Germany and the UK,British Journal of Psychology,96,3,263,281,10.1348/000712605X48296,"The extent to which international students and academics feel discriminated against in the host country was explored in three samples from two countries: students in Germany (N = 161), students in the UK (N = 139), and academics in Germany (N = 79). Respondents completed a measure of perceived discrimination of increasing severity, comprising antilocution (verbal derogation), avoidance, behavioural discrimination, and physical assault. Physical discernibility as foreigner, quality of private contacts with host nationals, and language proficiency were explored as predictors of perceived discrimination. Across the three samples, respondents who were identifiable as foreigners by their appearance reported more discrimination. Positive contacts with host nationals were associated with lower levels of perceived discrimination. Language proficiency predicted perceived antilocution in the two German samples. All samples perceived their personal level of discrimination to be lower than that of their respective in-groups (international students/academics), but the tendency was moderated by visibility and contact quality. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",international visitors; perceived discrimination; universities; germany; united kingdom; international students; host country; academics,Journal Article,NA,PsycInfo
46,Teney C.,2011,Endorsement of assimilationism among ethnic minority and majority youth in a multination-multiethnic context: The case of brussels,European Sociological Review,27,2,212,229,10.1093/esr/jcq003,"This study examined attitudes towards weak and strong assimilation in a sample of 3,121 pupils from 70 secondary schools in Brussels with a multilevel linear analysis. Controlling for socio-demographic variables, members of some ethnic minority groups endorsed weak assimilation to a greater extent than the majority. Within members of the majority, the French-speaking Belgians held similar attitudes towards assimilation to the Dutch-speaking Belgians. Among ethnic minorities, the identification of pupils from some foreign-origin countries with the mainstream society was positively associated with the endorsement of strong assimilation, while their ethnic identification remained non-significant. Intergroup friendship among pupils of foreign origin was positively related to strong assimilation. Moreover, pupils of foreign origin who experienced institutional discrimination against ethnic minorities in favour of the majority endorsed strong assimilationism to a lesser extent. Among the majority, the perception that people of foreign origin are victims of discrimination was positively related to the endorsement of weak assimilation. However, this association was mediated by the experience by the majority of institutional discrimination against the majority and in favour of ethnic minorities. In-group identification among the majority was not associated with the endorsement of assimilation. The results and their implications for future research and policy makers are discussed. © The Author 2010. Published by Oxford University Press. All rights reserved.",NA,Article,Final,Scopus
50,"Bell, Myrtle Perkins
Bell
Perkins
Myrtle
Bell, Myrtle Perkins",1996,Attitudes toward affirmative action: Tests of a comprehensive framework,NA,NA,NA,NA,NA,NA,"This dissertation examined the relationships between individual demographic (race, sex, and student versus field status), information frame (positive, neutral, and negative), and experience-based variables (experience with discrimination, knowledge of AAPs, and work group and friendship diversity) with attitudes toward Affirmative Action Programs (AAPs). Fishbein and Ajzen's theory of attitudes was used to test the relationship between beliefs about attributes associated with AAPs and the evaluations of those attributes and AAP attitude. Both qualitative and quantitative research were conducted, including 675 field and student respondents in the quantitative study. Multiple regression was used to analyze the data. As hypothesized, a multiplicative relationship was found between the beliefs and evaluations of attributes associated with AAPs; however, the belief composite did not mediate the effects of race and sex on attitude. As hypothesized, there were significant differences in the belief composite for males and females, and across racial groups. There were no differences in the belief composite and attitude of the student and field respondents. Information frame was manipulated for positive, neutral, and negative conditions, with significant effects for frame on White respondents. Twenty-seven percent (184) of respondents mailed in postcards voting their position on AAPs to Congressional representatives. Over-sampling was conducted to allow for analysis of minority group members' AAP attitudes, including Asian-Americans. Attitudes of Blacks, Hispanics, Asians, and Whites, respectively, were most-to-least favorable. Strong and consistent race differences were observed throughout the data. This study contributes to the literature on attitudes toward AAPs by testing the Fishbein and Ajzen theory of attitudes, identifying beliefs and evaluations of attributes associated with AAPs across different racial/ethnic groups. It was demonstrated that AAP attitudes may be changed through presentation of information, however, they are not easily manipulated, nor completely captured by high-level, abstract beliefs and evaluations of attributes associated with AAPs.","management , minority & ethnic groups , sociology",Dissertation/Thesis,NA,ProQuest
91,"Chang, Tiffany Kirtying",2018,Psychological distress of Asian international students: Applying intergroup contact theory,Dissertation Abstracts International: Section B: The Sciences and Engineering,79,1-B(E),NA,NA,NA,"International students may encounter a number of stressors associated with their transition to a new culture, such as acculturative stress and culture shock. In particular, Asian international students may experience greater difficulty with their social interactions and adaptation to the US, given the greater cultural distance between Asian countries and the US. The purpose of this dissertation study is to explore the relationship between intergroup contact quality and psychological distress among Asian international students. Specifically, this study examined the relationship between intergroup contact quality and psychological distress, and the extent to which this relationship is mediated by perceived discrimination and intercultural competence. The study utilized structural equation modeling (SEM) to assess these relationships. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",psychological distress; structural equation modeling; international students; intergroup,Dissertation,NA,PsycInfo
93,"Dixon J., Cakal H., Khan W., Osmany M., Majumdar S., Hassan M.",2017,"Contact, Political Solidarity and Collective Action: An Indian Case Study of Relations between Historically Disadvantaged Communities",Journal of Community and Applied Social Psychology,27,1,83,95,10.1002/casp.2296,"Research on the contact hypothesis has highlighted the role of contact in improving intergroup relations. Most of this research has addressed the problem of transforming the prejudices of historically advantaged communities, thereby eroding wider patterns of discrimination and inequality. In the present research, drawing on evidence from a cross-sectional survey conducted in New Delhi, we explored an alternative process through which contact may promote social change, namely by fostering political solidarity and empowerment amongst the disadvantaged. The results indicated that Muslim students' experiences of contact with other disadvantaged communities were associated with their willingness to participate in joint collective action to reduce shared inequalities. This relationship was mediated by perceptions of collective efficacy and shared historical grievances and moderated by positive experiences of contact with the Hindu majority. Implications for recent debates about the relationship between contact and social change are discussed. Copyright © 2016 John Wiley & Sons, Ltd. Copyright © 2016 John Wiley & Sons, Ltd.",collective action; contact; political solidarity; prejudice; social change,Article,Final,Scopus
94,"Schwarzenthal, Miriam, Schachner, Maja K, van de Vijver, Fons J. R, Juang, Linda P",2018,Equal but different: Effects of equality/inclusion and cultural pluralism on intergroup outcomes in multiethnic classrooms,Cultural Diversity and Ethnic Minority Psychology,24,2,260,271,10.1037/cdp0000173,"Objectives: Integrating research on intergroup contact and intercultural relations, we investigated effects of 2 types of cultural diversity norms (equality/inclusion and cultural pluralism) on outgroup orientation and perceived discrimination among students of immigrant and nonimmigrant background. Method: Our sample comprised 1,975 6th graders (Mage = 11.53, SDage = 0.69, 47% female) in Germany, of whom 1,213 (61%) were of immigrant background, defined as having at least 1 parent born in a different country. A total of 83 countries of origin were represented. We applied a multilevel framework to assess the impact of individual-level and class-level predictors on intergroup outcomes, controlling for the classroom ethnic composition, school track, and individual-level covariates. Immigrant background was treated as a moderator. Results: The 2 types of cultural diversity norms were generally associated with more positive intergroup outcomes. Some of the associations differed in strength between students of immigrant and nonimmigrant background. There were stronger associations of equality/inclusion with higher outgroup orientation among students of nonimmigrant background and with lower perceived discrimination among students of immigrant background. Ethnic composition, as well as the classroom-aggregated diversity norms (diversity climate) showed weaker relations with the outcome variables. Conclusions: Equality/inclusion norms and cultural pluralism norms can make complementary contributions to positive relations between students of immigrant and nonimmigrant background. Equality/inclusion norms foster positive contact and equal treatment, while cultural pluralism norms emphasize that it is also important to value diversity.1 (PsycINFO Database Record (c) 2018 APA, all rights reserved)",equality; cultural diversity; multiethnic classrooms; intergroup relations; cultural pluralism,Journal Article,NA,PsycInfo
194,"Borus, Jonathan F, Fiman, Byron G, Stanton, M. Duncan, Dowd, Albert F",1973,The Racial Perceptions Inventory,Archives of General Psychiatry,29,2,270,275,10.1001/archpsyc.1973.04200020092013,"Describes the Racial Perceptions Inventory (RPI), a 66-statement instrument measuring racial attitudes and perceptions, designed to assess the racial climate of military posts. Responses of 1,385 soldiers at 3 army posts were used in the development and validation of 3 scales dealing with different aspects of race relations in the military: Attitudes Toward Integration (ATI), Perceptions of Racial Discrimination (PRD), and Blacklash Feelings (BF). Racial perceptions tapped by the PRD and BF scales were highly associated with the race of the perceiver, but surprisingly few other demographic variables were substantially associated with perceptions of everyday military life. ATI scores showed little cross-racial difference but were linked to premilitary contact with other races and career commitment to the military. Uses of the RPI in intervention planning and evaluation are suggested. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",racial perceptions inventory; racial attitudes & perceptions; soldiers at army post,Journal Article,NA,PsycInfo
210,"Chavous T.M., Richardson B.L., Webb F.R., Fonseca-Bolorin G., Leath S.",2018,"Shifting Contexts and Shifting Identities: Campus Race-Related Experiences, Racial Identity, and Academic Motivation Among Black Students During the Transition to College",Race and Social Problems,10,1,NA,NA,10.1007/s12552-017-9218-9,"This study examined Black college students’ (N = 309, 70% women) racial identity beliefs over their freshman year. Using latent class cluster analysis, we identified clusters reflecting patterns of change and stability in students’ racial centrality (importance of race to overall self-concept), private regard (group pride), and public regard (perceptions of others’ views of Blacks). Racial identity change clusters were distinguished by campus experiences (racial discrimination, interracial friendships, and campus racial climate). Racial identity change clusters predicted end-of-year academic motivation (competence, affect, interest/curiosity, and persistence). Findings suggest the importance of examining critical transitions in identity development and highlight the deleterious effects of stigmatizing campus experiences on identity. Findings also highlight ways students’ racial identity beliefs may help promote academic motivation. © 2017, Springer Science+Business Media, LLC.",academic motivation; black college students; identity development; racial identity,Article,Final,Scopus
244,"Ruck M.D., Park H., Killen M., Crystal D.S.",2011,Intergroup Contact and Evaluations of Race-Based Exclusion in Urban Minority Children and Adolescents,Journal of Youth and Adolescence,40,6,633,643,10.1007/s10964-010-9600-z,"There is a dearth of published research on the role of intergroup contact on urban US ethnic minority children's and adolescents' evaluations of racial exclusion. The current investigation examined these issues in a sample of low-income minority 4th, 7th, and 10th grade (N = 129, 60% female) African American and Latino/a students attending predominately racial and ethnic minority US urban public schools. Using individual interviews, participants were presented with scenarios depicting three contexts of interracial peer exclusion (lunch at school, a sleepover party, and a school dance). Novel findings were that intergroup contact was significantly related to low-income urban ethnic minority youth's evaluations of the wrongfulness of race-based exclusion and their awareness of the use of stereotypes to justify racial exclusion. Further, significant interactions involving intergroup contact, context, age, and gender were also found. Findings illustrated the importance of intergroup contact for ethnic minority students and the complexity of ethnic minority children's and adolescents' judgments and decision-making about interracial peer exclusion. © 2010 Springer Science+Business Media, LLC.",exclusion; intergroup relations; minority children and adolescents; racial discrimination; social reasoning,Article,Final,Scopus
