id,author,year,title,journal,volume,issue,first_page,last_page,doi,abstract,keywords,type,status,source
13,"Smokowski P.R., Bacallao M., Buchanan R.L.",2009,Interpersonal mediators linking acculturation stressors to subsequent internalizing symptoms and self-esteem in Latino adolescents,Journal of Community Psychology,37,8,1024,1045,10.1002/jcop.20346,"The specific aim of this study was to examine pathways leading to internalizing symptoms and self-esteem in Latino adolescents. Adolescent feelings of interpersonal humiliation, family conflict and commitment, and friendships with peers were investigated as potential mediators linking acculturation stress to subsequent adolescent self-esteem and internalizing symptoms. Path analyses on data from a sample of 288 Latino adolescents (average age 15 years; 66% foreign-born) showed that acculturation conflicts and perceived discrimination were risk factors for both internalizing problems at baseline and parent-adolescent conflict 6 months later. Baseline internalizing problems, and Time 2 variables (humiliation, parent-adolescent conflict, negative peer relationships, and changes in familism) mediated the effects of acculturation stress on Time 3 (T3) internalizing symptoms and self-esteem. Latino cultural involvement was a key cultural asset, impacting T3 internalizing. symptoms and self-esteem by decreasing feelings of humiliation and by promoting familism. Familism was also a critical cultural asset associated with lower parent-adolescent conflict and higher self-esteem. Study limitations and implications for practice with Latino families were discussed. © 2009 Wiley Periodicals, Inc.",NA,Article,Final,Scopus
19,"Jiang Q., Aricat R.G., Chib A., Chia A., Tan S.M., Tan L., Woo Z.W.",2016,Silent but brewing: Reactive ethnicity and interculturality among chinese students in Singapore,Journal of Intercultural Communication,2016,40,NA,NA,NA,"The study takes an indirect approach towards the intercultural experience of migrants and explores how they perceive discrimination from host society and in turn stereotype it. Previous studies have highlighted how interculturality facilitates the adaptation of migrants in the host country. This study explores (i) how face-to-face (FTF) and mediated contact and perceived discrimination predict stereotyping, and (ii) how contact, perceived discrimination and stereotyping predict interculturality. A web-based survey was conducted among university students from the People’s Republic of China (n = 585) in Singapore. FTF contact reduced stereotyping better than mediated contact. Perceived discrimination increased stereotyping of the host society by migrants, whereas stereotyping negatively affected interculturality. The study calls for better contact between locals and the migrant population. © 2016, Immigrant Institutet. All rights reserved.",china; contact; culture; discrimination; immigrant; integration; intercultural; singapore; stereotype,Article,Final,Scopus
45,"Krahe, Barbara, Abraham, Charles, Felber, Juliane, Helbig, Muriel K",2005,Perceived discrimination of international visitors to universities in Germany and the UK,British Journal of Psychology,96,3,263,281,10.1348/000712605X48296,"The extent to which international students and academics feel discriminated against in the host country was explored in three samples from two countries: students in Germany (N = 161), students in the UK (N = 139), and academics in Germany (N = 79). Respondents completed a measure of perceived discrimination of increasing severity, comprising antilocution (verbal derogation), avoidance, behavioural discrimination, and physical assault. Physical discernibility as foreigner, quality of private contacts with host nationals, and language proficiency were explored as predictors of perceived discrimination. Across the three samples, respondents who were identifiable as foreigners by their appearance reported more discrimination. Positive contacts with host nationals were associated with lower levels of perceived discrimination. Language proficiency predicted perceived antilocution in the two German samples. All samples perceived their personal level of discrimination to be lower than that of their respective in-groups (international students/academics), but the tendency was moderated by visibility and contact quality. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",international visitors; perceived discrimination; universities; germany; united kingdom; international students; host country; academics,Journal Article,NA,PsycInfo
46,Teney C.,2011,Endorsement of assimilationism among ethnic minority and majority youth in a multination-multiethnic context: The case of brussels,European Sociological Review,27,2,212,229,10.1093/esr/jcq003,"This study examined attitudes towards weak and strong assimilation in a sample of 3,121 pupils from 70 secondary schools in Brussels with a multilevel linear analysis. Controlling for socio-demographic variables, members of some ethnic minority groups endorsed weak assimilation to a greater extent than the majority. Within members of the majority, the French-speaking Belgians held similar attitudes towards assimilation to the Dutch-speaking Belgians. Among ethnic minorities, the identification of pupils from some foreign-origin countries with the mainstream society was positively associated with the endorsement of strong assimilation, while their ethnic identification remained non-significant. Intergroup friendship among pupils of foreign origin was positively related to strong assimilation. Moreover, pupils of foreign origin who experienced institutional discrimination against ethnic minorities in favour of the majority endorsed strong assimilationism to a lesser extent. Among the majority, the perception that people of foreign origin are victims of discrimination was positively related to the endorsement of weak assimilation. However, this association was mediated by the experience by the majority of institutional discrimination against the majority and in favour of ethnic minorities. In-group identification among the majority was not associated with the endorsement of assimilation. The results and their implications for future research and policy makers are discussed. © The Author 2010. Published by Oxford University Press. All rights reserved.",NA,Article,Final,Scopus
50,"Bell, Myrtle Perkins
Bell
Perkins
Myrtle
Bell, Myrtle Perkins",1996,Attitudes toward affirmative action: Tests of a comprehensive framework,NA,NA,NA,NA,NA,NA,"This dissertation examined the relationships between individual demographic (race, sex, and student versus field status), information frame (positive, neutral, and negative), and experience-based variables (experience with discrimination, knowledge of AAPs, and work group and friendship diversity) with attitudes toward Affirmative Action Programs (AAPs). Fishbein and Ajzen's theory of attitudes was used to test the relationship between beliefs about attributes associated with AAPs and the evaluations of those attributes and AAP attitude. Both qualitative and quantitative research were conducted, including 675 field and student respondents in the quantitative study. Multiple regression was used to analyze the data. As hypothesized, a multiplicative relationship was found between the beliefs and evaluations of attributes associated with AAPs; however, the belief composite did not mediate the effects of race and sex on attitude. As hypothesized, there were significant differences in the belief composite for males and females, and across racial groups. There were no differences in the belief composite and attitude of the student and field respondents. Information frame was manipulated for positive, neutral, and negative conditions, with significant effects for frame on White respondents. Twenty-seven percent (184) of respondents mailed in postcards voting their position on AAPs to Congressional representatives. Over-sampling was conducted to allow for analysis of minority group members' AAP attitudes, including Asian-Americans. Attitudes of Blacks, Hispanics, Asians, and Whites, respectively, were most-to-least favorable. Strong and consistent race differences were observed throughout the data. This study contributes to the literature on attitudes toward AAPs by testing the Fishbein and Ajzen theory of attitudes, identifying beliefs and evaluations of attributes associated with AAPs across different racial/ethnic groups. It was demonstrated that AAP attitudes may be changed through presentation of information, however, they are not easily manipulated, nor completely captured by high-level, abstract beliefs and evaluations of attributes associated with AAPs.","management , minority & ethnic groups , sociology",Dissertation/Thesis,NA,ProQuest
91,"Chang, Tiffany Kirtying",2018,Psychological distress of Asian international students: Applying intergroup contact theory,Dissertation Abstracts International: Section B: The Sciences and Engineering,79,1-B(E),NA,NA,NA,"International students may encounter a number of stressors associated with their transition to a new culture, such as acculturative stress and culture shock. In particular, Asian international students may experience greater difficulty with their social interactions and adaptation to the US, given the greater cultural distance between Asian countries and the US. The purpose of this dissertation study is to explore the relationship between intergroup contact quality and psychological distress among Asian international students. Specifically, this study examined the relationship between intergroup contact quality and psychological distress, and the extent to which this relationship is mediated by perceived discrimination and intercultural competence. The study utilized structural equation modeling (SEM) to assess these relationships. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",psychological distress; structural equation modeling; international students; intergroup,Dissertation,NA,PsycInfo
93,"Dixon J., Cakal H., Khan W., Osmany M., Majumdar S., Hassan M.",2017,"Contact, Political Solidarity and Collective Action: An Indian Case Study of Relations between Historically Disadvantaged Communities",Journal of Community and Applied Social Psychology,27,1,83,95,10.1002/casp.2296,"Research on the contact hypothesis has highlighted the role of contact in improving intergroup relations. Most of this research has addressed the problem of transforming the prejudices of historically advantaged communities, thereby eroding wider patterns of discrimination and inequality. In the present research, drawing on evidence from a cross-sectional survey conducted in New Delhi, we explored an alternative process through which contact may promote social change, namely by fostering political solidarity and empowerment amongst the disadvantaged. The results indicated that Muslim students' experiences of contact with other disadvantaged communities were associated with their willingness to participate in joint collective action to reduce shared inequalities. This relationship was mediated by perceptions of collective efficacy and shared historical grievances and moderated by positive experiences of contact with the Hindu majority. Implications for recent debates about the relationship between contact and social change are discussed. Copyright © 2016 John Wiley & Sons, Ltd. Copyright © 2016 John Wiley & Sons, Ltd.",collective action; contact; political solidarity; prejudice; social change,Article,Final,Scopus
94,"Schwarzenthal, Miriam, Schachner, Maja K, van de Vijver, Fons J. R, Juang, Linda P",2018,Equal but different: Effects of equality/inclusion and cultural pluralism on intergroup outcomes in multiethnic classrooms,Cultural Diversity and Ethnic Minority Psychology,24,2,260,271,10.1037/cdp0000173,"Objectives: Integrating research on intergroup contact and intercultural relations, we investigated effects of 2 types of cultural diversity norms (equality/inclusion and cultural pluralism) on outgroup orientation and perceived discrimination among students of immigrant and nonimmigrant background. Method: Our sample comprised 1,975 6th graders (Mage = 11.53, SDage = 0.69, 47% female) in Germany, of whom 1,213 (61%) were of immigrant background, defined as having at least 1 parent born in a different country. A total of 83 countries of origin were represented. We applied a multilevel framework to assess the impact of individual-level and class-level predictors on intergroup outcomes, controlling for the classroom ethnic composition, school track, and individual-level covariates. Immigrant background was treated as a moderator. Results: The 2 types of cultural diversity norms were generally associated with more positive intergroup outcomes. Some of the associations differed in strength between students of immigrant and nonimmigrant background. There were stronger associations of equality/inclusion with higher outgroup orientation among students of nonimmigrant background and with lower perceived discrimination among students of immigrant background. Ethnic composition, as well as the classroom-aggregated diversity norms (diversity climate) showed weaker relations with the outcome variables. Conclusions: Equality/inclusion norms and cultural pluralism norms can make complementary contributions to positive relations between students of immigrant and nonimmigrant background. Equality/inclusion norms foster positive contact and equal treatment, while cultural pluralism norms emphasize that it is also important to value diversity.1 (PsycINFO Database Record (c) 2018 APA, all rights reserved)",equality; cultural diversity; multiethnic classrooms; intergroup relations; cultural pluralism,Journal Article,NA,PsycInfo
104,"Ping, Ji
Ping
Ji
Ping, Ji",1990,Frontier migration and ethnic assimilation: A case of Xinjiang Uygur Autonomous Region of China,NA,NA,NA,NA,NA,NA,"What happens once different human groups come into massive contacts as the result of migration? What pattern of interrelationships emerges after the initial stage of contact? What are the conditions which promote ethnic assimilation and integration as opposed to those which induce conflicts and tensions between groups? Inspired by these questions, this research investigates the ethnic integration process as a consequence of internal migration in a multiethnic society. The present case study deals with the intergroup relations between an in-migrant majority group and a native minority group in a frontier area of China--Xinjiang Uygur Autonomous Region. To conduct this research, a field survey on ""Migration Adjustment and Ethnic interrelations in Xinjiang Region"" was specially designed and implemented from March to September, 1987. A total of 1,549 individual households were interviewed, from whom useable data were obtained for 1,349 heads of households. Two strategies are used in the analysis. One is cross-tabulation; the other is multivariate regression by using Ordinary Least Square analysis of the SPSSx program. The results of the case study support most of the hypotheses. Xinjiang is found to be an ethnic pluralist society with the in-migrant majority people in an advantaged position in political power. The process of interethnic assimilation, especially linguistic and social structural assimilation, has occurred to a certain degree, and constitutes a great change for both ethnic groups, particularly for the indigeneous minority people assimilating with the in-migrant majority people. Yet, the relatively lower level of social psychological assimilation and lack of inter-group marriage imply that a pluralist community in Xinjiang region will persist for a long time. The Chinese government played an important role in the process of ethnic assimilation and internal migration. The country-wide political movements led to ethnic policies, in some situations, being confusing and fluctuating. As a result, policy impacts often offset each other.","minority & ethnic groups , sociology , demographics",Dissertation/Thesis,NA,ProQuest
106,"Feddes A.R., Mann L., Doosje B.",2012,From extreme emotions to extreme actions: Explaining non-normative collective action and reconciliation,Behavioral and Brain Sciences,35,6,432,433,10.1017/S0140525X12001197,A key argument of Dixon et al. in the target article is that prejudice reduction through intergroup contact and collective action work in opposite ways. We argue for a complementary approach focusing on extreme emotions to understand why people turn to non-normative collective action and to understand when and under what conditions extreme emotions may influence positive effects of contact on reconciliation. © 2012 Cambridge University Press.,NA,Review,Final,Scopus
109,"Tobias, Jutta Mathilde",2009,Intergroup contact caused by institutional change: An exploration of the link between deregulation in Rwanda's coffee sector and attitudes towards reconciliation,Dissertation Abstracts International: Section B: The Sciences and Engineering,70,11-B,NA,NA,NA,"An exploratory field survey was conducted among a sample of rural Rwandan coffee farmers who have been experiencing new commercial opportunities and associations since the deregulation of Rwanda's coffee industry in the aftermath of the 1994 genocide. Participants were interviewed in confidential settings on their attitudes towards reconciliation and on other social and economic factors that may have changed since the economic liberalisation of coffee in Rwanda's recent history. Results from correlational analyses suggest that membership in a coffee cooperative, being associated with a particular coffee washing station comparatively longer, and economic as well as general life satisfaction are significant correlates of positive attitudes towards reconciliation among participants, beyond a clear indication that frequent, deep, and pleasant contact with members from the other ethnic group in Rwanda is strongly linked to an attitude of reconciliation. These observations were discernible independent of ethnicity of particular participants, or of the specific ethnic mix of community members in a given survey location, indicating that forgiveness and reconciliation are equally salient for all Rwandans, and that those individuals who benefit from the coffee sector deregulation economically may also experience positive social change as an ancillary result. Although the study's sample represents a minority of coffee farmers in Rwanda, i.e. those benefiting from the results of privatisation in Rwanda's coffee sector, and the survey design prohibits generalisations beyond the group examined, the observed correlations match current theories of reconciliation, and extend the small body of field studies in reconciliation research, thus providing a quantitative insight into the potential mediating effect of commercially induced intergroup contact on positive intergroup relations in post-conflict environments with lingering ethnic discord. Limitations of survey research in post-conflict settings are discussed in conjunction with recommendations for follow-up inquiries on the social factors that may contribute to a reduction in inter-ethnic hostility, even if on the face of it, they may seem utterly unrelated to psychology. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",intergroup contact; institutional change; rwanda's coffee sector; attitudes; reconciliation,Dissertation,NA,PsycInfo
135,"Li, Miao",2014,Discrimination and psychiatric disorder among Asian American immigrants: A national analysis by subgroups,Journal of Immigrant and Minority Health,16,6,1157,1166,10.1007/s10903-013-9920-7,"Although considerable evidence suggests that discrimination negatively affects mental health for Asian American (AA) immigrants, few studies have disaggregated this heterogeneous community and/or differentiated effects of different forms of discrimination. Using the first nationally representative data on AA immigrants in US, this study examines whether perceived racial discrimination, perceived language discrimination, and vicarious racism experiences increase the risk of psychiatric disorder for different Asian immigrant groups in the past 12 months. Results from group specific logistic regressions show that both perceived racial and language discrimination have strong deleterious effects on mental health only for Filipinos, while Vietnamese and Chinese are more likely to be affected by vicarious racism experiences. No significant association was found between racial discrimination and the mental health outcome for Vietnamese and Chinese. Findings were discussed in the light of inter-racial contact pattern and acculturation status for each group. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",discrimination; asian american; psychiatric disorder,Journal Article,NA,PsycInfo
161,"Gibson J.L., Claassen C.",2010,Racial reconciliation in South Africa: Interracial contact and changes over time,Journal of Social Issues,66,2,255,272,10.1111/j.1540-4560.2010.01644.x,"Relying upon Gibson's (2004) theory equating lack of prejudice with interracial "" reconciliation,"" we investigate racial attitudes based on a 2004 nationally representative survey of South Africans. We begin by documenting substantial group-based differences in intergroup prejudice, with Blacks being considerably less reconciled with Whites as compared to the three racial minorities' levels of reconciliation with Blacks. We also discover that the Black majority has become less reconciled with Whites over the period from Gibson's survey (in 2001) to the current survey (in 2004). Improvement in racial attitudes is observed among the other three groups. We next investigate intergroup contact as an explanation of differences in attitudes, finding some effects of mere contact and powerful effects of intimate contact. However, the consequences of contact differ across the various racial groups. © 2010 The Society for the Psychological Study of Social Issues.",NA,Article,Final,Scopus
189,"Ortiz-Diaz, Sharlaine M",2018,The impacts of religious discrimination towards anxiety in diverse populations,Dissertation Abstracts International: Section B: The Sciences and Engineering,79,3-B(E),NA,NA,NA,"Previous research has indicated that outcomes of depression, anxiety, and suicidal ideation could stem from religious discrimination (RLGD). However, there remains an important gap in the current literature regarding RLGD impacts with non-Muslim populations. Further, the moderating effects of sex, race, and national origin (moderating variables [MVs]) have yielded mixed findings concerning anxiety (dependent variable). The intergroup anxiety theory and the integrated threat theory elaborate on perceived threats and potential anxiety of intergroup dynamics. The purpose of this quantitative study was to examine the role of religious preferences (independent variable), the MVs, and the RLGD-anxiety relationship. The sample consisted of foreign- and nonforeign-born, Christian theist, non-Christian theist, and nontheist participants from 44 countries and 6 racial groups (N = 414). The direct impact of RLGD through religious intergroup contact (Outgroup Contact Measure) and anxiety (Beck Anxiety Inventory) was measured via regression analyses. While controlling for the MV's, results show that (a) Muslims reported the most religious outgroup contact, whereas, Evangelical/ Fundamentalists reported the least. The (b) most severe differences and the highest and (c) anxiety symptoms were reported by agnostics, atheists, and Muslim women respectively. Findings from this research help clarify that the relationship between RLGD, sex, and anxiety, and show the variation among IV and sex moderations are more unique than initially addressed with Muslims. This is an important contribution to the existing literature and enhances social change by better serving understudied and underrepresented religious preference groups. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",religious discrimination; anxiety; diverse populations,Dissertation,NA,PsycInfo
