id,n_samples,sample,item,response
4000,1,1,age_adolescents,0
4000,1,1,age_adults,1
4000,1,1,age_children,0
4000,1,1,country,83
4000,1,1,ingroup,Syrian refugees
4000,1,1,items_1,NA
4000,1,1,items_10,NA
4000,1,1,items_11,NA
4000,1,1,items_12,"Discrimination fear was measured by adapting six questions from the Johnson–Lecci Scale (Johnson & Lecci, 2003) to address fears of unequal treatment of the Syrian ingroup by Germans. For example, Syrian refugees rated how far they are afraid of being discriminated against by Germans because of their Syrian origin. Items were measured on 5‐point scales ranging from 1 (disagree completely) to 5 (agree completely). The reliability was α = 0.58."
4000,1,1,items_13,NA
4000,1,1,items_14,NA
4000,1,1,items_15,NA
4000,1,1,items_16,NA
4000,1,1,items_18,NA
4000,1,1,items_19,NA
4000,1,1,items_2,NA
4000,1,1,items_3,"Positive intergroup contact was rated with nine items on 5‐point scales ranging from 1 (never) to 5 (always). An example is: “If you think of all your encounters with German people in Germany, how often did you have enriching conversations with a German person?” The internal consistency of the scale was α = 0.91."
4000,1,1,items_4,"Negative contact was measured with 11 items on 5‐point scales ranging from 1 (never) to 5 (always). An example is: “If you think of all your encounters with German people in Germany,  how often did a German person bother you?” The internal consistency was α = 0.85."
4000,1,1,items_5,NA
4000,1,1,items_6,NA
4000,1,1,items_7,NA
4000,1,1,items_8,NA
4000,1,1,items_9,NA
4000,1,1,n,121
4000,1,1,outgroup,Germans
4000,1,1,r_1_1,NA
4000,1,1,r_1_10,NA
4000,1,1,r_1_11,NA
4000,1,1,r_1_12,NA
4000,1,1,r_1_13,NA
4000,1,1,r_1_14,NA
4000,1,1,r_1_15,NA
4000,1,1,r_1_16,NA
4000,1,1,r_1_18,NA
4000,1,1,r_1_19,NA
4000,1,1,r_1_2,NA
4000,1,1,r_1_3,NA
4000,1,1,r_1_4,NA
4000,1,1,r_1_5,NA
4000,1,1,r_1_6,NA
4000,1,1,r_1_7,NA
4000,1,1,r_1_8,NA
4000,1,1,r_1_9,NA
4000,1,1,r_10_1,NA
4000,1,1,r_10_10,NA
4000,1,1,r_10_11,NA
4000,1,1,r_10_12,NA
4000,1,1,r_10_13,NA
4000,1,1,r_10_14,NA
4000,1,1,r_10_15,NA
4000,1,1,r_10_16,NA
4000,1,1,r_10_18,NA
4000,1,1,r_10_19,NA
4000,1,1,r_10_2,NA
4000,1,1,r_10_3,NA
4000,1,1,r_10_4,NA
4000,1,1,r_10_5,NA
4000,1,1,r_10_6,NA
4000,1,1,r_10_7,NA
4000,1,1,r_10_8,NA
4000,1,1,r_10_9,NA
4000,1,1,r_11_1,NA
4000,1,1,r_11_10,NA
4000,1,1,r_11_11,NA
4000,1,1,r_11_12,NA
4000,1,1,r_11_13,NA
4000,1,1,r_11_14,NA
4000,1,1,r_11_15,NA
4000,1,1,r_11_16,NA
4000,1,1,r_11_18,NA
4000,1,1,r_11_19,NA
4000,1,1,r_11_2,NA
