coder,id,var,text,name,outgroup,ic_quality
Coder 1,1020,ic,"Contact. Two items relating to the quantity of contact asked about contact with co-nationals living in Britain and about contact with host nationals (1 = not at all, 5 = very much). Two further items relating to the quality of contact similarly asked about contact with co-nationals and host nationals (1 = not at all, 5 = very much).",Intergroup contact (other),British people,No
Coder 2,1020,ic,"Contact. Two items relating to the quantity of contact asked about contact with co-nationals living in Britain and about contact with host nationals (1 = not at all, 5 = very much). Two further items relating to the quality of contact similarly asked about contact with co-nationals and host nationals (1 = not at all, 5 = very much).",Intergroup contact (other),British people,No
Coder 1,1042,cq,"Intergroup contact. Students were asked to what extent they interact on campus with students from a variety of groups including African American/Black, Asian American/Asian, Hispanic/Latino, Native American, European American, and other. Responses were based on a five-point scale from “no interaction” (1) to “the most interaction” (5), with a midpoint of “some interaction” (3). Additional questions included asking students to list their six closest friends and describe their background, including race/ethnicity. The race or ethnicity was coded in a manner similar to that used for categorizing the respondents themselves. Two research assistants independently completed the coding with high agreement as the racial/ethnic descriptions provided by respondents easily fit these categories. For each respondent, the number of close friends they listed that belonged to each of the ethnic groups was counted. Individual responses to the questions above were standardized—transformed into z-scores—using the complete first-year survey sample and then summed to create contact variables. Given the emphasis on contact among African American, Asian American, and European American students, contact with members of these groups was considered. Three variables thus represent summary indices of interethnic contact: group contact with (1) European Americans, (2) Asian Americans, and (3) African Americans. Accordingly, for European American students, group contact with other European Americans constitutes ingroup contact, whereas contact with the other two ethnic groups constitutes outgroup contact. A similar distinction was made for Asian American and African American students.",Contact quantity,European Americans,No
Coder 2,1042,cq,"Intergroup contact. Students were asked to what extent they interact on campus with students from a variety of groups including African American/Black, Asian American/Asian, Hispanic/Latino, Native American, European American, and other. Responses were based on a five-point scale from “no interaction” (1) to “the most interaction” (5), with a midpoint of “some interaction” (3). Additional questions included asking students to list their six closest friends and describe their background, including race/ethnicity. The race or ethnicity was coded in a manner similar to that used for categorizing the respondents themselves. Two research assistants independently completed the coding with high agreement as the racial/ethnic descriptions provided by respondents easily fit these categories. For each respondent, the number of close friends they listed that belonged to each of the ethnic groups was counted. Individual responses to the questions above were standardized—transformed into z-scores—using the complete first-year survey sample and then summed to create contact variables. Given the emphasis on contact among African American, Asian American, and European American students, contact with members of these groups was considered. Three variables thus represent summary indices of interethnic contact: group contact with (1) European Americans, (2) Asian Americans, and (3) African Americans. Accordingly, for European American students, group contact with other European Americans constitutes ingroup contact, whereas contact with the other two ethnic groups constitutes outgroup contact. A similar distinction was made for Asian American and African American students.",Contact quantity,European Americans,No
Coder 1,1042,cq,"Intergroupcontact. Studentswereaskedtowhatextenttheyinteractoncampus with students from a variety of groups including African American/Black, Asian American/Asian, Hispanic/Latino, Native American, European American, andother.Responseswerebasedonafive-pointscalefrom“nointeraction”(1)to “the most interaction” (5), with a midpoint of “some interaction” (3). Additional questions included asking students to list their six closest friends and describe their background, including race/ethnicity. The race or ethnicity was coded in a manner similar to that used for categorizing the respondents themselves. Two research assistants independently completed the coding with high agreement as the racial/ethnic descriptions provided by respondents easily fit these categories. For each respondent, the number of close friends they listed that belonged to each of the ethnic groups was counted. Individual responses to the questions above were standardized—transformed into z-scores—using the complete first-year survey sample and then summed to create contact variables. Given the emphasis on contact among African American,AsianAmerican,andEuropeanAmericanstudents,contactwithmembers of these groups was considered. Three variables thus represent summary indicesofinterethniccontact:groupcontactwith(1)EuropeanAmericans,(2)Asian Americans,and(3)AfricanAmericans.Accordingly,forEuropeanAmericanstudents, group contact with other European Americans constitutes ingroup contact, whereas contact with the other two ethnic groups constitutes outgroup contact. A similar distinction was made for Asian American and African American students.",Contact quantity,European Americans,No
Coder 2,1042,cq,"Intergroupcontact. Studentswereaskedtowhatextenttheyinteractoncampus with students from a variety of groups including African American/Black, Asian American/Asian, Hispanic/Latino, Native American, European American, andother.Responseswerebasedonafive-pointscalefrom“nointeraction”(1)to “the most interaction” (5), with a midpoint of “some interaction” (3). Additional questions included asking students to list their six closest friends and describe their background, including race/ethnicity. The race or ethnicity was coded in a manner similar to that used for categorizing the respondents themselves. Two research assistants independently completed the coding with high agreement as the racial/ethnic descriptions provided by respondents easily fit these categories. For each respondent, the number of close friends they listed that belonged to each of the ethnic groups was counted. Individual responses to the questions above were standardized—transformed into z-scores—using the complete first-year survey sample and then summed to create contact variables. Given the emphasis on contact among African American,AsianAmerican,andEuropeanAmericanstudents,contactwithmembers of these groups was considered. Three variables thus represent summary indicesofinterethniccontact:groupcontactwith(1)EuropeanAmericans,(2)Asian Americans,and(3)AfricanAmericans.Accordingly,forEuropeanAmericanstudents, group contact with other European Americans constitutes ingroup contact, whereas contact with the other two ethnic groups constitutes outgroup contact. A similar distinction was made for Asian American and African American students.",Contact quantity,European Americans,No
Coder 2,1045,cf,Students reported whether each nominated friend was of the same or different race/ethnicity as themselves. We identified students who did not have any cross-ethnic friendships (0) versus students who had one or more cross-ethnic friends (1).,Cross-group friendship,White Americans,No
Coder 1,1045,cf,Students reported whether each nominated friend was of the same or different race/ethnicity as themselves. We identified students who did not have any cross-ethnic friendships (0) versus students who had one or more cross-ethnic friends (1).,Cross-group friendship,White Americans,Yes
Coder 1,1114,cq,Participants reported how frequently they met outgroup members in town (contact quantity) on a 5-point Likert-type scale ranging from 1 (most of the time) to 5 (never).,Contact quantity,Lebanese people,No
Coder 2,1114,cq,Participants reported how frequently they met outgroup members in town (contact quantity) on a 5-point Likert-type scale ranging from 1 (most of the time) to 5 (never).,Contact quantity,Lebanese people,No
Coder 1,1114,ic,"In line with previous studies, we opted to compute a single index score of frequent positive contact (e.g., Tam et al., 2007; Voci & Hewstone, 2003), based on the idea that a combination of contact quantity and quality is optimal for reducing prejudice. To achieve this, we combined the two contact quality items into a composite score (Pearson’s r  .93 for Lebanese and .91 for Syrians). We then recoded contact quantity from 0 to 4 and contact quality from 2 to 2 and computed the cross-product of contact quantity and quality. This measure thus ranges from 8 to 8, with those reporting no contact or neutral contact with outgroup members scoring 0.",Intergroup contact (other),Lebanese people,Yes
Coder 2,1114,ic,"In line with previous studies, we opted to compute a single index score of frequent positive contact (e.g., Tam et al., 2007; Voci & Hewstone, 2003), based on the idea that a combination of contact quantity and quality is optimal for reducing prejudice. To achieve this, we combined the two contact quality items into a composite score (Pearson’s r  .93 for Lebanese and .91 for Syrians). We then recoded contact quantity from 0 to 4 and contact quality from 2 to 2 and computed the cross-product of contact quantity and quality. This measure thus ranges from 8 to 8, with those reporting no contact or neutral contact with outgroup members scoring 0.",Intergroup contact (other),Lebanese people,Yes
Coder 1,1114,pc,"Those who had some form of intergroup contact then reported what their contact was frequently like when they encountered outgroup members in town (contact quality), using two 5-point Likert-type scales. The first scale ranged from 1 (extremely positive) to 5 (extremely negative). The second ranged from 1 (extremely good) to 5 (extremely bad).",Contact quality / Positive contact,Lebanese people,Yes
Coder 2,1114,pc,"Those who had some form of intergroup contact then reported what their contact was frequently like when they encountered outgroup members in town (contact quality), using two 5-point Likert-type scales. The first scale ranged from 1 (extremely positive) to 5 (extremely negative). The second ranged from 1 (extremely good) to 5 (extremely bad).",Contact quality / Positive contact,Lebanese people,Yes
Coder 1,1163,cq,"Interracial Contact. The Interracial Anxiety Measure consists of 32 items (e.g., “In the past, I have rarely interacted with White/Caucasian people”) assessing the quantity and quality of respondents’ previous contact with White people, their outcome expectancies regarding interactions with White people, their anxiety resulting from such interactions, their desire to avoid interactions with White people, and their degree of hostility resulting from interacting with White people. Responses are rated on a 7-point scale ranging from “strongly agree” (1) to “strongly disagree” (7). A high score on quality items indicates more positive contact and less hostility in interactions with White/Caucasian people. A high score on quantity items indicates more contact with White/Caucasian people. Scores were calculated by using a mean score.  For the current sample, a reliability analysis yielded a Cronbach’s alpha of .71 for quantity items and a Cronbach’s alpha of .88 for quality items. For the present study, the quantity and quality subscales of the Interracial Anxiety Measure were be used. Items measuring quantity included questions like “In the past, I have rarely interacted with White/Caucasian people,” and quality of contact was measured using items like “I have had many positive experiences with White/Caucasian people.”",Contact quantity,White Americans,No
Coder 2,1163,cq,"Interracial Contact. The Interracial Anxiety Measure consists of 32 items (e.g., “In the past, I have rarely interacted with White/Caucasian people”) assessing the quantity and quality of respondents’ previous contact with White people, their outcome expectancies regarding interactions with White people, their anxiety resulting from such interactions, their desire to avoid interactions with White people, and their degree of hostility resulting from interacting with White people. Responses are rated on a 7-point scale ranging from “strongly agree” (1) to “strongly disagree” (7). A high score on quality items indicates more positive contact and less hostility in interactions with White/Caucasian people. A high score on quantity items indicates more contact with White/Caucasian people. Scores were calculated by using a mean score.  For the current sample, a reliability analysis yielded a Cronbach’s alpha of .71 for quantity items and a Cronbach’s alpha of .88 for quality items. For the present study, the quantity and quality subscales of the Interracial Anxiety Measure were be used. Items measuring quantity included questions like “In the past, I have rarely interacted with White/Caucasian people,” and quality of contact was measured using items like “I have had many positive experiences with White/Caucasian people.”",Contact quantity,White Americans,No
Coder 1,1163,pc,"Seven additional items were added to assess the quantity (e.g., “The neighborhood I currently live in has mostly Black/African American people” and quality (e.g., “Currently (in the present), my experiences with White/Caucasian people has been pleasant”) of current contact (in addition to the existing items measuring quantity and quality of past contact). In addition, the labels “Black” and “Caucasian” were changed on all measures to “Black/African American” and “White/Caucasian” to encompass different labeling preferences. Items 2, 3, 4, 13, 14, and 15 are reverse scored. (See Appendix D for full measure.)",Contact quality / Positive contact,White Americans,No
Coder 2,1163,pc,"Seven additional items were added to assess the quantity (e.g., “The neighborhood I currently live in has mostly Black/African American people” and quality (e.g., “Currently (in the present), my experiences with White/Caucasian people has been pleasant”) of current contact (in addition to the existing items measuring quantity and quality of past contact). In addition, the labels “Black” and “Caucasian” were changed on all measures to “Black/African American” and “White/Caucasian” to encompass different labeling preferences. Items 2, 3, 4, 13, 14, and 15 are reverse scored. (See Appendix D for full measure.)",Contact quality / Positive contact,White Americans,No
Coder 1,1221,cf,"AddHealth network data provides a scale of the racial difference within a respondent's friendship (See Appendix A, Table 9). Racial difference is measured by the percentage of reported friends that are of a different race than the respondent.",Cross-group friendship,White Americans,No
Coder 2,1221,cf,"AddHealth network data provides a scale of the racial difference within a respondent's friendship (See Appendix A, Table 9). Racial difference is measured by the percentage of reported friends that are of a different race than the respondent.",Cross-group friendship,White Americans,No
Coder 2,1248,cq,Quantity of intergroup contact was measured by three items “How often do you talk to your Kurdish friends?” “How often do you spend time with them socially?” and “How often do you visit them at their home?”,Contact quantity,Turks,No
Coder 1,1248,cq,Quantity of intergroup contact was measured by three items “How often do you talk to your Kurdish friends?” “How often do you spend time with them socially?” and “How often do you visit them at their home?”,Contact quantity,Turks,Yes
Coder 1,1376,ic,"Intergroup contact. Adapted from Voci and Hewstone (2003), items measuring quality of contact such as to what extent contact with the other community is “pleasant or unpleasant” and “rather positive or negative” were rated on 7-point Likert scales (.90). Quantity of contact, also adapted from Voci and Hewstone, was measured by asking participants to rate on a 5-point Likert scale ranging from 1 (none at all) to 5 (a great deal) how much contact they have with people from the other community “at meetings and events,” “just chatting to people,” and “over all social situations” (.83). Following Voci and Hewstone, we calculated a single measure of contact by multiplying together quality and quantity of contact, with a high score indicating high-frequency positive contact.",Intergroup contact (other),Protestants,Yes
Coder 2,1376,ic,"Intergroup contact. Adapted from Voci and Hewstone (2003), items measuring quality of contact such as to what extent contact with the other community is “pleasant or unpleasant” and “rather positive or negative” were rated on 7-point Likert scales (.90). Quantity of contact, also adapted from Voci and Hewstone, was measured by asking participants to rate on a 5-point Likert scale ranging from 1 (none at all) to 5 (a great deal) how much contact they have with people from the other community “at meetings and events,” “just chatting to people,” and “over all social situations” (.83). Following Voci and Hewstone, we calculated a single measure of contact by multiplying together quality and quantity of contact, with a high score indicating high-frequency positive contact.",Intergroup contact (other),Protestants,Yes
Coder 1,1386,cq,"The ﬁrst set (n 5 4) tapped dimensions of interaction between White and Black people that have been featured widely in research on contact (e.g., Islam & Hewstone, 1993). Two of these items gauged the amount of interracial contact in terms of rates of casual conversation and interactions withfriends.Forexample,thequestion‘‘Howoftenhaveyouhad conversations with White people in the past week?’’ offered the response options ‘‘not at all,’’ ‘‘once or twice,’’ and ‘‘three times or more.’’ Prior to analysis, these two quantity-of-contact items were combined to form a single measure. Speciﬁcally, we transformed scores on measures of the frequency of casual and friendly contact into an ordinal variable with three degrees of contact between Blacks and Whites: no contact, casual contact only, and both casual contact and friendly contact.",Contact quantity,White South Africans,No
Coder 2,1386,cq,"The ﬁrst set (n 5 4) tapped dimensions of interaction between White and Black people that have been featured widely in research on contact (e.g., Islam & Hewstone, 1993). Two of these items gauged the amount of interracial contact in terms of rates of casual conversation and interactions withfriends.Forexample,thequestion‘‘Howoftenhaveyouhad conversations with White people in the past week?’’ offered the response options ‘‘not at all,’’ ‘‘once or twice,’’ and ‘‘three times or more.’’ Prior to analysis, these two quantity-of-contact items were combined to form a single measure. Speciﬁcally, we transformed scores on measures of the frequency of casual and friendly contact into an ordinal variable with three degrees of contact between Blacks and Whites: no contact, casual contact only, and both casual contact and friendly contact.",Contact quantity,White South Africans,Yes
Coder 1,1395,cq,"Students’ extent of contact with local students was measured using an eight-item Quantity of Contact Scale from Tawagi and Mak (2015) who originally adapted items from Ward et al. (2005). This measure comprises 4-point rating scales, where 1 stands for never, 2 for rarely (once a month), 3 for sometimes (2-4 times a month), and 4 for often (5-15 times a month). An example item is “Spending time together in the holidays.”",Contact quantity,Domestic students,No
Coder 2,1395,cq,"Students’ extent of contact with local students was measured using an eight-item Quantity of Contact Scale from Tawagi and Mak (2015) who originally adapted items from Ward et al. (2005). This measure comprises 4-point rating scales, where 1 stands for never, 2 for rarely (once a month), 3 for sometimes (2-4 times a month), and 4 for often (5-15 times a month). An example item is “Spending time together in the holidays.”",Contact quantity,Domestic students,No
Coder 1,1407,cq,"White interracial contact is a measure of the respondent’s level of interaction with white people during his or her adult life over five social settings: (1) college, (2) present neighborhood, (3) grocery store, (4) place for medical care, and (5) present workplace, if employed. Responses include 1(“all Blacks”), 2 (“mostly Blacks”), 3 (“about half Black”), 4 (“mostly White”), and 5 (“almost all white”). I recoded these items to 1 (all Black or mostly Black contexts), 2 (half Black environments), and 3 (mostly White or almost all White contexts). I constructed a white interracial contact scale by summing the standardized values of the individual items and computing the average score over the non-missing items for each respondent.",Contact quantity,White Americans,No
Coder 2,1407,cq,"White interracial contact is a measure of the respondent’s level of interaction with white people during his or her adult life over five social settings: (1) college, (2) present neighborhood, (3) grocery store, (4) place for medical care, and (5) present workplace, if employed. Responses include 1(“all Blacks”), 2 (“mostly Blacks”), 3 (“about half Black”), 4 (“mostly White”), and 5 (“almost all white”). I recoded these items to 1 (all Black or mostly Black contexts), 2 (half Black environments), and 3 (mostly White or almost all White contexts). I constructed a white interracial contact scale by summing the standardized values of the individual items and computing the average score over the non-missing items for each respondent.",Contact quantity,White Americans,No
Coder 1,1411,cq,"Quantity of contact was measured by three variables with answers ranging from 1 = never to 6 = several times a day. The first variable was, ‘‘In the past year, how often did you have contact with Christians (Muslims) as neighbors?’’ Two other variables were the same, except that they referred to the frequency of interreligious contact with classmates and people living in the same house or dormitory building. Exploratory factor analysis yielded a one-factor structure; the variables were therefore averaged to form a reliable index (Christians: a = .72; Muslims: a = .79). Higher values indicate more frequent interreligious contact.",Contact quantity,Muslims,No
Coder 2,1411,cq,"Quantity of contact was measured by three variables with answers ranging from 1 = never to 6 = several times a day. The first variable was, ‘‘In the past year, how often did you have contact with Christians (Muslims) as neighbors?’’ Two other variables were the same, except that they referred to the frequency of interreligious contact with classmates and people living in the same house or dormitory building. Exploratory factor analysis yielded a one-factor structure; the variables were therefore averaged to form a reliable index (Christians: a = .72; Muslims: a = .79). Higher values indicate more frequent interreligious contact.",Contact quantity,Muslims,No
Coder 1,1411,pc,"Quality of contact was measured by sixteen items using five-point ordinal scales. The items referred to four aspects of the quality of contact, namely: goodness, closeness, equality, and cooperativeness (Allport 1954; Pettigrew and Tropp 2006). For example, the four variables for interreligious contact with neighbors were: ‘‘How would you rate your contact with Christians (Muslims) as neighbors?’’ on a scale ranging from 1 = very negative to 5 = very positive; ‘‘How close are you to your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = not close at all to 5 = very close; ‘‘How equal would you say you are to your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = not equal at all to 5 = very equal; and ‘‘How much do you cooperate with your Christian (Muslim) neighbors?’’ on a scale ranging from 1 = do not cooperate at all to 5 = cooperate a lot. As in the case of quantity of contact, the questions were repeated for other types of contact (i.e., friends, classmates, dorm mates). Factor analysis with an oblimin rotation indicated a three-factor structure: goodness, closeness/cooperativeness, and equality. However, because the factors were highly correlated (.59\r\.76), they were averaged to form a reliable index (Christians a = .93; Muslims a = .97). Higher scores indicate higher quality of interreligious contact.",Contact quality / Positive contact,Muslims,Yes
