coder,id,sample,q4,q5,q6,q7,q8,q8_4_text,q9,q9_6_text,q10
Coder 1,19,1,Singapore,International students from China in Singapore,Singaporeans,"Adolescents
(13 - 18 years),Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,19,1,Singapore,Chinese international students,Native Singaporeans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,45,1,Germany,International students in Germany,Germans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,45,1,Germany,UK international students,Native Germans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,45,2,UK,International students in the UK,British people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,45,2,UK,German international students,UK natives,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,45,3,Germany,Visiting academics in Germany,Germans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,45,3,Germany,Visiting academics,Native Germans,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,46,1,Belgium,Pupils of foreign origin in Brussels,Belgians,"Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,46,1,Belgium,Students of foreign descent,Native Belgians,"Adolescents
(13 - 18 years)",probability or representative sample,NA,"observational, cross-sectional",NA,No
Coder 1,91,1,USA,International students from Asia in the US,US American students,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,91,1,USA,Asian international students,Domestic students,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,93,1,India,Muslim students,High-status Hindus,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,93,1,India,Muslims,Hindus,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,210,1,USA,Black American students,White Americans,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 2,210,1,USA,Blacks,Whites,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,244,1,USA,African American and Latino students,European American children,"Children
(≤ 12 years),Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,244,1,USA,Blacks,Whites,"Children
(≤ 12 years),Adolescents
(13 - 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,No
Coder 1,284,1,South Africa,Black students,White people,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,284,1,South Africa,Blacks,Whites,"Adults
(≥ 18 years)","convenience sample, students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 1,286,1,Turkey,Kurds,Turks,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
Coder 2,286,1,Turkey,Kurds,Turks,"Adults
(≥ 18 years)","convenience sample, non-students (no random sampling)",NA,"observational, cross-sectional",NA,Yes
