country,cultural_distance_to_usa,political_distance_to_usa,political_participation_distance_to_usa,group_membership_distance_to_usa
Algeria,0.15464432856476,0.167744237636562,0.470607504852551,0.320991369099658
Andorra,0.108475222487607,0.111140427803829,0.14097206157436,0.0624978774876705
Argentina,0.0722195922138506,0.0689400648957619,0.234895327279662,0.0592007398979936
Armenia,0.175327645636594,0.189754518614629,0.749475476558202,0.261812834770163
Australia,0.032507235520865,0.0320968182314205,0.0182345391561595,0.0210511788882604
Azerbaijan,0.204601510669664,0.226511424947385,1.01853749091518,0.324421745107784
Bahrain,0.179812201736899,0.187601891337782,1.43471447874111,0.341936907151589
Belarus,0.0659403665304273,0.070188633376178,NA,0.123117734658668
Brazil,0.0698204356383095,0.0684949153160588,0.10232750847432,0.0673127544968248
Bulgaria,0.107764764715509,0.111983631611126,0.710591107400579,0.094454065596257
Burkina Faso,0.145995149163308,0.137889142854711,0.23032561519659,0.1845015152364
Canada,0.0249903699091967,0.0261478632783305,0.00503791012665487,0.0257082208054689
Chile,0.0800639752673544,0.0777284371171846,0.320950847505054,0.0619713718631271
China,0.170316011212987,0.133714176449106,0.396302163398596,0.0893438071946623
Colombia,0.1121588419115,0.117675152321069,0.225536106077977,0.0903289574808383
Cyprus,0.0581382452625398,0.0561930461569275,0.167647907534111,0.0475453933959142
Ecuador,0.125616975654774,0.13548086679448,0.654253500380943,0.0889781238564497
Egypt,0.239588973052474,0.223859396393228,0.800363760384482,0.275547084996438
Estonia,0.125269305599528,0.103604861600355,0.384782281147465,0.0951364579069012
Ethiopia,0.140520264154255,0.141976646286893,0.270569119390869,0.100551945555497
Finland,0.0740076303872321,0.0741312790289867,0.0776737018256955,0.0289764040176874
France,0.0835579524630415,0.0685529867572972,0.0409397862693129,0.0558593216898047
Georgia,0.154086443052117,0.15039112465659,0.435068538130817,0.129497055074098
Germany,0.0789551316831658,0.0664975463522096,0.0629091140634312,0.0218813762372545
Ghana,0.17384105968856,0.173629613962564,0.422224362476402,0.185066153390134
UK,0.0557371621858993,0.0549427156231625,0.0154687741524952,0.0351843431994042
Guatemala,0.140357182790178,0.161575612416665,0.874047463200498,0.126367535418663
Hong Kong,0.0979239647188102,0.0849829180794357,0.15086534296655,0.110575717315254
Hungary,0.108363490338012,0.116515956170258,0.861396929301448,0.0524175852444736
India,0.0868712357751859,0.0911749932496509,0.13938190485367,0.121441974203517
Indonesia,0.190264347673463,0.209673193220681,0.562852939037565,0.143249865036159
Iran,0.149245387945745,0.150958172149511,NA,0.246619097988981
Iraq,0.176397603054139,0.205208954288001,0.291858000168922,0.345895971610888
Italy,0.0617256435632142,0.0553297298740493,0.0424087774135186,0.0270415582362963
Japan,0.118450743052923,0.10521407481229,0.129341803798928,0.0549969502217425
Jordan,0.203909640090775,0.196745882714989,0.698291801652873,0.257257185077331
