id,coder,n_samples,sample,item,response
93,Coder 1,1,1,name,Study 1
93,Coder 1,1,1,n,449
93,Coder 1,1,1,variables,"2,14,17"
93,Coder 1,1,1,var_18_text,NA
93,Coder 1,1,1,var_19_text,NA
93,Coder 1,1,1,var_20_text,NA
93,Coder 1,1,1,var_21_text,NA
93,Coder 1,1,1,r_reported,1
93,Coder 1,1,1,b_reported,0
93,Coder 1,1,1,other_reported,0
93,Coder 1,1,1,longitudinal,0
93,Coder 1,1,1,items_1,NA
93,Coder 1,1,1,items_2,"Intergroup contact with other disadvantaged groups was measured by three items: ‘How often do you spend time with disadvantaged people at the university campus?’, ‘How often do you spend time with disadvantaged people at social activities?’, ‘How regularly do you have interactions with disadvantaged people as part of the same sports team/social club/campus society?’ (α=.88). We used the same items to measure contact with ‘high status’ Hindu group members (α=.84)."
93,Coder 1,1,1,items_3,NA
93,Coder 1,1,1,items_4,NA
93,Coder 1,1,1,items_5,NA
93,Coder 1,1,1,items_6,NA
93,Coder 1,1,1,items_7,NA
93,Coder 1,1,1,items_8,NA
93,Coder 1,1,1,items_9,NA
93,Coder 1,1,1,items_10,NA
93,Coder 1,1,1,items_11,NA
93,Coder 1,1,1,items_12,NA
93,Coder 1,1,1,items_13,NA
93,Coder 1,1,1,items_14,"We used three items (α=.85) adapted from Smith, Cronin and Kessler (2008) to measure collective action tendencies on behalf of the disadvantaged group: ‘I would be willing to sign a petition to improve the current situation of all disadvantaged people in India’, ‘I would be willing to sign up for a neighbourhood project to improve conditions for the disadvantaged in my neighbourhood’, and ‘I would be willing to participate in a peaceful demonstration to improve the current conditions for the disadvantaged in India’."
93,Coder 1,1,1,items_15,NA
93,Coder 1,1,1,items_16,NA
93,Coder 1,1,1,items_17,"We used three items to measure perceived group efﬁcacy (van Zomeren, Leach, & Spears, 2010): ‘I believe that disadvantaged groups, working together, can protect our rights.’, ‘I believe that disadvantaged groups, through joint actions, can prevent our conditions from deteriorating.’, and ‘I believe that disadvantaged groups can achieve a common goal of improving our conditions’ (.α=.90)."
93,Coder 1,1,1,items_18,NA
93,Coder 1,1,1,items_19,NA
93,Coder 1,1,1,items_20,NA
93,Coder 1,1,1,items_21,NA
93,Coder 1,1,1,r_1_1,NA
93,Coder 1,1,1,r_1_2,NA
93,Coder 1,1,1,r_1_3,NA
93,Coder 1,1,1,r_1_4,NA
93,Coder 1,1,1,r_1_5,NA
93,Coder 1,1,1,r_1_6,NA
93,Coder 1,1,1,r_1_7,NA
93,Coder 1,1,1,r_1_8,NA
93,Coder 1,1,1,r_1_9,NA
93,Coder 1,1,1,r_1_10,NA
93,Coder 1,1,1,r_1_11,NA
93,Coder 1,1,1,r_1_12,NA
93,Coder 1,1,1,r_1_13,NA
93,Coder 1,1,1,r_1_14,NA
93,Coder 1,1,1,r_1_15,NA
93,Coder 1,1,1,r_1_16,NA
93,Coder 1,1,1,r_1_17,NA
93,Coder 1,1,1,r_1_18,NA
93,Coder 1,1,1,r_1_19,NA
93,Coder 1,1,1,r_1_20,NA
93,Coder 1,1,1,r_1_21,NA
93,Coder 1,1,1,r_2_1,NA
93,Coder 1,1,1,r_2_2,1
93,Coder 1,1,1,r_2_3,NA
93,Coder 1,1,1,r_2_4,NA
93,Coder 1,1,1,r_2_5,NA
93,Coder 1,1,1,r_2_6,NA
93,Coder 1,1,1,r_2_7,NA
93,Coder 1,1,1,r_2_8,NA
93,Coder 1,1,1,r_2_9,NA
93,Coder 1,1,1,r_2_10,NA
93,Coder 1,1,1,r_2_11,NA
93,Coder 1,1,1,r_2_12,NA
93,Coder 1,1,1,r_2_13,NA
93,Coder 1,1,1,r_2_14,0.15
93,Coder 1,1,1,r_2_15,NA
93,Coder 1,1,1,r_2_16,NA
93,Coder 1,1,1,r_2_17,0.13
93,Coder 1,1,1,r_2_18,NA
93,Coder 1,1,1,r_2_19,NA
93,Coder 1,1,1,r_2_20,NA
93,Coder 1,1,1,r_2_21,NA
93,Coder 1,1,1,r_3_1,NA
93,Coder 1,1,1,r_3_2,NA
93,Coder 1,1,1,r_3_3,NA
93,Coder 1,1,1,r_3_4,NA
93,Coder 1,1,1,r_3_5,NA
93,Coder 1,1,1,r_3_6,NA
93,Coder 1,1,1,r_3_7,NA
93,Coder 1,1,1,r_3_8,NA
93,Coder 1,1,1,r_3_9,NA
93,Coder 1,1,1,r_3_10,NA
93,Coder 1,1,1,r_3_11,NA
93,Coder 1,1,1,r_3_12,NA
93,Coder 1,1,1,r_3_13,NA
93,Coder 1,1,1,r_3_14,NA
93,Coder 1,1,1,r_3_15,NA
93,Coder 1,1,1,r_3_16,NA
93,Coder 1,1,1,r_3_17,NA
93,Coder 1,1,1,r_3_18,NA
93,Coder 1,1,1,r_3_19,NA
93,Coder 1,1,1,r_3_20,NA
93,Coder 1,1,1,r_3_21,NA
93,Coder 1,1,1,r_4_1,NA
93,Coder 1,1,1,r_4_2,NA
93,Coder 1,1,1,r_4_3,NA
93,Coder 1,1,1,r_4_4,NA
93,Coder 1,1,1,r_4_5,NA
93,Coder 1,1,1,r_4_6,NA
93,Coder 1,1,1,r_4_7,NA
93,Coder 1,1,1,r_4_8,NA
93,Coder 1,1,1,r_4_9,NA
93,Coder 1,1,1,r_4_10,NA
93,Coder 1,1,1,r_4_11,NA
93,Coder 1,1,1,r_4_12,NA
93,Coder 1,1,1,r_4_13,NA
93,Coder 1,1,1,r_4_14,NA
93,Coder 1,1,1,r_4_15,NA
93,Coder 1,1,1,r_4_16,NA
93,Coder 1,1,1,r_4_17,NA
93,Coder 1,1,1,r_4_18,NA
93,Coder 1,1,1,r_4_19,NA
93,Coder 1,1,1,r_4_20,NA
93,Coder 1,1,1,r_4_21,NA
93,Coder 1,1,1,r_5_1,NA
93,Coder 1,1,1,r_5_2,NA
93,Coder 1,1,1,r_5_3,NA
93,Coder 1,1,1,r_5_4,NA
93,Coder 1,1,1,r_5_5,NA
93,Coder 1,1,1,r_5_6,NA
93,Coder 1,1,1,r_5_7,NA
93,Coder 1,1,1,r_5_8,NA
93,Coder 1,1,1,r_5_9,NA
93,Coder 1,1,1,r_5_10,NA
93,Coder 1,1,1,r_5_11,NA
93,Coder 1,1,1,r_5_12,NA
93,Coder 1,1,1,r_5_13,NA
93,Coder 1,1,1,r_5_14,NA
93,Coder 1,1,1,r_5_15,NA
93,Coder 1,1,1,r_5_16,NA
93,Coder 1,1,1,r_5_17,NA
93,Coder 1,1,1,r_5_18,NA
93,Coder 1,1,1,r_5_19,NA
93,Coder 1,1,1,r_5_20,NA
93,Coder 1,1,1,r_5_21,NA
93,Coder 1,1,1,r_6_1,NA
93,Coder 1,1,1,r_6_2,NA
93,Coder 1,1,1,r_6_3,NA
93,Coder 1,1,1,r_6_4,NA
93,Coder 1,1,1,r_6_5,NA
93,Coder 1,1,1,r_6_6,NA
93,Coder 1,1,1,r_6_7,NA
93,Coder 1,1,1,r_6_8,NA
93,Coder 1,1,1,r_6_9,NA
93,Coder 1,1,1,r_6_10,NA
93,Coder 1,1,1,r_6_11,NA
93,Coder 1,1,1,r_6_12,NA
93,Coder 1,1,1,r_6_13,NA
93,Coder 1,1,1,r_6_14,NA
93,Coder 1,1,1,r_6_15,NA
93,Coder 1,1,1,r_6_16,NA
93,Coder 1,1,1,r_6_17,NA
93,Coder 1,1,1,r_6_18,NA
93,Coder 1,1,1,r_6_19,NA
93,Coder 1,1,1,r_6_20,NA
93,Coder 1,1,1,r_6_21,NA
93,Coder 1,1,1,r_7_1,NA
93,Coder 1,1,1,r_7_2,NA
93,Coder 1,1,1,r_7_3,NA
93,Coder 1,1,1,r_7_4,NA
93,Coder 1,1,1,r_7_5,NA
93,Coder 1,1,1,r_7_6,NA
93,Coder 1,1,1,r_7_7,NA
93,Coder 1,1,1,r_7_8,NA
93,Coder 1,1,1,r_7_9,NA
93,Coder 1,1,1,r_7_10,NA
93,Coder 1,1,1,r_7_11,NA
93,Coder 1,1,1,r_7_12,NA
93,Coder 1,1,1,r_7_13,NA
93,Coder 1,1,1,r_7_14,NA
93,Coder 1,1,1,r_7_15,NA
93,Coder 1,1,1,r_7_16,NA
93,Coder 1,1,1,r_7_17,NA
93,Coder 1,1,1,r_7_18,NA
93,Coder 1,1,1,r_7_19,NA
93,Coder 1,1,1,r_7_20,NA
93,Coder 1,1,1,r_7_21,NA
93,Coder 1,1,1,r_8_1,NA
93,Coder 1,1,1,r_8_2,NA
93,Coder 1,1,1,r_8_3,NA
93,Coder 1,1,1,r_8_4,NA
93,Coder 1,1,1,r_8_5,NA
93,Coder 1,1,1,r_8_6,NA
93,Coder 1,1,1,r_8_7,NA
93,Coder 1,1,1,r_8_8,NA
93,Coder 1,1,1,r_8_9,NA
93,Coder 1,1,1,r_8_10,NA
93,Coder 1,1,1,r_8_11,NA
93,Coder 1,1,1,r_8_12,NA
93,Coder 1,1,1,r_8_13,NA
93,Coder 1,1,1,r_8_14,NA
93,Coder 1,1,1,r_8_15,NA
93,Coder 1,1,1,r_8_16,NA
93,Coder 1,1,1,r_8_17,NA
93,Coder 1,1,1,r_8_18,NA
93,Coder 1,1,1,r_8_19,NA
93,Coder 1,1,1,r_8_20,NA
93,Coder 1,1,1,r_8_21,NA
93,Coder 1,1,1,r_9_1,NA
93,Coder 1,1,1,r_9_2,NA
93,Coder 1,1,1,r_9_3,NA
93,Coder 1,1,1,r_9_4,NA
93,Coder 1,1,1,r_9_5,NA
93,Coder 1,1,1,r_9_6,NA
93,Coder 1,1,1,r_9_7,NA
93,Coder 1,1,1,r_9_8,NA
93,Coder 1,1,1,r_9_9,NA
93,Coder 1,1,1,r_9_10,NA
93,Coder 1,1,1,r_9_11,NA
93,Coder 1,1,1,r_9_12,NA
93,Coder 1,1,1,r_9_13,NA
93,Coder 1,1,1,r_9_14,NA
93,Coder 1,1,1,r_9_15,NA
93,Coder 1,1,1,r_9_16,NA
93,Coder 1,1,1,r_9_17,NA
93,Coder 1,1,1,r_9_18,NA
93,Coder 1,1,1,r_9_19,NA
93,Coder 1,1,1,r_9_20,NA
93,Coder 1,1,1,r_9_21,NA
93,Coder 1,1,1,r_10_1,NA
93,Coder 1,1,1,r_10_2,NA
93,Coder 1,1,1,r_10_3,NA
93,Coder 1,1,1,r_10_4,NA
93,Coder 1,1,1,r_10_5,NA
93,Coder 1,1,1,r_10_6,NA
93,Coder 1,1,1,r_10_7,NA
93,Coder 1,1,1,r_10_8,NA
93,Coder 1,1,1,r_10_9,NA
93,Coder 1,1,1,r_10_10,NA
93,Coder 1,1,1,r_10_11,NA
93,Coder 1,1,1,r_10_12,NA
93,Coder 1,1,1,r_10_13,NA
93,Coder 1,1,1,r_10_14,NA
93,Coder 1,1,1,r_10_15,NA
93,Coder 1,1,1,r_10_16,NA
93,Coder 1,1,1,r_10_17,NA
93,Coder 1,1,1,r_10_18,NA
93,Coder 1,1,1,r_10_19,NA
93,Coder 1,1,1,r_10_20,NA
93,Coder 1,1,1,r_10_21,NA
93,Coder 1,1,1,r_11_1,NA
93,Coder 1,1,1,r_11_2,NA
93,Coder 1,1,1,r_11_3,NA
93,Coder 1,1,1,r_11_4,NA
93,Coder 1,1,1,r_11_5,NA
93,Coder 1,1,1,r_11_6,NA
93,Coder 1,1,1,r_11_7,NA
93,Coder 1,1,1,r_11_8,NA
93,Coder 1,1,1,r_11_9,NA
93,Coder 1,1,1,r_11_10,NA
93,Coder 1,1,1,r_11_11,NA
93,Coder 1,1,1,r_11_12,NA
93,Coder 1,1,1,r_11_13,NA
93,Coder 1,1,1,r_11_14,NA
93,Coder 1,1,1,r_11_15,NA
93,Coder 1,1,1,r_11_16,NA
93,Coder 1,1,1,r_11_17,NA
93,Coder 1,1,1,r_11_18,NA
93,Coder 1,1,1,r_11_19,NA
93,Coder 1,1,1,r_11_20,NA
93,Coder 1,1,1,r_11_21,NA
93,Coder 1,1,1,r_12_1,NA
93,Coder 1,1,1,r_12_2,NA
93,Coder 1,1,1,r_12_3,NA
93,Coder 1,1,1,r_12_4,NA
93,Coder 1,1,1,r_12_5,NA
93,Coder 1,1,1,r_12_6,NA
93,Coder 1,1,1,r_12_7,NA
93,Coder 1,1,1,r_12_8,NA
93,Coder 1,1,1,r_12_9,NA
93,Coder 1,1,1,r_12_10,NA
93,Coder 1,1,1,r_12_11,NA
