id,coder,run,answer
1,Coder 2,Screening,3
2,Coder 2,Screening,3
3,Coder 2,Screening,3
4,Coder 2,Screening,3
5,Coder 2,Screening,3
6,Coder 1,Screening,3
7,Coder 1,Trial 2,3
7,Coder 2,Trial 2,3
8,Coder 1,Trial 3,3
8,Coder 2,Trial 3,3
9,Coder 1,Screening,3
10,Coder 1,Screening,3
11,Coder 1,Screening,3
12,Coder 2,Screening,3
13,Coder 2,Screening,2
14,Coder 1,Screening,3
15,Coder 2,Screening,3
16,Coder 1,Screening,3
17,Coder 2,Screening,3
18,Coder 2,Screening,3
19,Coder 1,Screening,1
20,Coder 2,Screening,3
21,Coder 2,Screening,3
22,Coder 2,Screening,3
23,Coder 2,Screening,3
24,Coder 1,Trial 2,3
24,Coder 2,Trial 2,3
25,Coder 1,Trial 3,3
25,Coder 2,Trial 3,3
26,Coder 1,Screening,3
27,Coder 1,Screening,3
28,Coder 1,Screening,3
29,Coder 2,Screening,3
30,Coder 1,Screening,3
31,Coder 1,Screening,3
32,Coder 2,Screening,3
33,Coder 1,Screening,3
34,Coder 2,Screening,3
35,Coder 2,Screening,3
36,Coder 2,Screening,3
37,Coder 1,Screening,3
38,Coder 2,Screening,3
39,Coder 1,Screening,3
40,Coder 1,Screening,3
41,Coder 1,Screening,3
42,Coder 2,Screening,3
43,Coder 1,Screening,3
44,Coder 2,Screening,3
45,Coder 1,Screening,1
46,Coder 2,Screening,2
47,Coder 2,Screening,3
48,Coder 2,Screening,3
49,Coder 2,Screening,3
50,Coder 2,Screening,2
51,Coder 1,Screening,3
52,Coder 1,Screening,3
53,Coder 1,Screening,3
54,Coder 2,Screening,3
55,Coder 1,Screening,3
56,Coder 2,Screening,3
57,Coder 2,Screening,3
58,Coder 1,Screening,3
59,Coder 2,Screening,3
60,Coder 2,Screening,3
61,Coder 1,Screening,3
62,Coder 2,Screening,3
63,Coder 2,Screening,3
64,Coder 2,Screening,3
65,Coder 1,Screening,3
66,Coder 2,Screening,3
67,Coder 1,Screening,3
68,Coder 2,Screening,3
69,Coder 2,Screening,3
70,Coder 2,Screening,3
71,Coder 1,Screening,3
72,Coder 1,Screening,3
73,Coder 2,Screening,3
74,Coder 1,Screening,3
75,Coder 2,Screening,3
76,Coder 2,Screening,3
77,Coder 2,Screening,3
78,Coder 1,Screening,3
79,Coder 1,Screening,3
80,Coder 1,Screening,3
81,Coder 1,Screening,3
82,Coder 2,Screening,3
83,Coder 2,Screening,3
84,Coder 1,Screening,3
85,Coder 1,Screening,3
86,Coder 2,Screening,3
87,Coder 2,Screening,3
88,Coder 2,Screening,3
89,Coder 1,Screening,3
90,Coder 2,Screening,3
91,Coder 1,Screening,1
92,Coder 2,Screening,3
93,Coder 2,Screening,2
94,Coder 1,Screening,2
95,Coder 1,Screening,3
